name,product_id,is_outsourcing,product_code,quantity_product
Vải Cotton Graphite (KHCC-AD) ép keo 1020 White,38,1,1-COTO01-GRP-K8-AD,0.000000
Vải Cotton Graphite (KHCC-AD) ép lưới màn 80G Black,39,1,1-COTO01-GRP-L2-AD,0.000000
Vải Cotton Camo số 6 Green,40,0,1-COCAM6-GRN-00-AK,0.000000
Vải Cotton Hàn Quốc số 416 Old Gold (17-1129 TCX),41,0,1-COVAC0-OGD-00-CA,0.000000
Vải Cotton Hàn Quốc số 471 Texas Orange (18-1239 TCX),42,0,1-COVAC0-TXO-00-CA,5.700000
Vải Cotton Maroon (KHCC-BIS),43,0,1-COTO01-MAR-00-BV,37.530000
Vải Cotton Neon Green,45,0,1-COVAC0-NGR-00-AK,0.000000
Vải Cotton Neon Green ép lưới màn 28G White,46,1,1-COVAC0-NGR-L3-AK,0.000000
Vải Cotton Orange (KHCC-BIS),47,0,1-COTO02-ONG-00-BV,35.120000
Vải Cotton Orange (KHCC-BIS) cào nhung,48,1,1-CO0000-ONG-CN-BV,3.320000
Vải Cotton Orange No. 256,49,0,1-COVAC1-ONG-00-CA,0.000000
Vải Cotton Orange No. 256 ép lưới màn 80G Black,50,1,1-COVAC1-ONG-L2-CA,0.000000
Vải Cotton Orange No. 455,51,0,1-COVAC0-ONG-00-CA,43.600000
Vải Cotton Orange No. 455 ép lưới màn 80G Black,52,1,1-COVAC0-ONG-L2-CA,0.000000
Vải Cotton Organic Dark Gray 419C (KHCC-AD),53,0,1-COTO01-DGY-00-AD,58.000000
Vải Cotton Organic Navy (KHCC-AD),54,0,1-COTO02-ORN-00-AD,50.000000
Vải Cotton Organic Orange 179C (KHCC-AD),55,0,1-COTO03-ORA-00-AD,68.000000
Vải Cotton Organic Pink 1767C (KHCC-AD),56,0,1-COTO04-POG-00-AD,0.000000
Vải Cotton Organic Purple (KHCC-AD),57,0,1-COTO05-ORP-00-AD,199.000000
Vải Cotton Pink Camo (KHCC-BF),58,0,1-COTO01-PCM-00-BF,0.000000
Vải Cotton Slate Gray (KHCC-AD),59,0,1-COTO06-SLG-00-AD,38.000000
Vải Cotton Stone No.11,60,0,1-COVAC0-STO-00-CA,107.595000
Vải Cotton Stone No.11 ép lưới màn 80G White,61,1,1-COVAC0-STO-L1-CA,0.000000
Vải Cotton Tan (KHCC-BIS),66,0,1-CO0000-TAN-00-BV,160.490000
Vải Cotton VAC01 Cardinal (19-1650 TCX),67,0,1-CVAC01-CAL-00-HV,0.000000
Vải Cotton VAC01 Cardinal (19-1650 TCX) ép lưới màn 80G Black,68,1,1-CVAC01-CAL-L2-HV,0.000000
Vải Cotton VAC02 Brown (19-1224 TCX),69,0,1-CVAC02-BRO-00-IW,3.970000
Vải Cotton VAC02 Brown (19-1224 TCX) ép lưới màn 80G Black,70,1,1-CVAC02-BRO-L2-IW,0.000000
Vải Cotton VAC03 Maroon (19-1725 TCX) giãn,71,0,1-CVAC03-MAR-00-HS,1.400000
Vải Cotton VAC04 Scarlet (18-1657 TCX ) ép lưới màn 80G Black,72,1,1-CVAC04-SCA-L2-IW,0.000000
Vải Cotton VAC04 Scarlet (18-1657 TCX),73,0,1-CVAC04-SCA-00-IW,4.100000
Vải Cotton VAC04 Scarlet (18-1657 TCX),74,0,1-CVAC04-SCA-00-HV,1131.904000
Vải Cotton VAC04 Scarlet (18-1657 TCX) cào nhung,75,1,1-CVAC04-SCA-CN-IW,0.000000
Vải Cotton VAC04 Scarlet (18-1657 TCX) ép keo 1020 White,76,1,1-CVAC04-SCA-K8-IW,0.000000
Vải Cotton VAC04 Scarlet (18-1657 TCX) ép lưới màn 80G Black,77,1,1-CVAC04-SCA-L2-HV,4.137500
Vải Cotton VAC04 Scarlet (18-1657 TCX) ép mút 2mm,78,1,1-CVAC04-SCA-M2-IW,0.000000
Vải Cotton VAC04 Scarlet (18-1657 TCX) ép mút 5mm,79,1,1-CVAC04-SCA-M5-IW,0.000000
Vải Cotton VAC05 Dark Brown (19-1111 TCX),80,0,1-CVAC05-DBN-00-IW,193.610000
Vải Cotton VAC05 Dark Brown (19-1111 TCX) cào nhung,81,1,1-CVAC05-DBN-CN-IW,3.000000
Vải Cotton VAC06 Black (19-4007 TCX),82,0,1-CVAC06-BLK-00-HV,524.165900
Vải Cotton VAC06 Black (19-4007 TCX) cào nhung,84,1,1-CVAC06-BLK-CN-HV,49.050000
Vải Cotton VAC06 Black (19-4007 TCX) cào nhung ép lưới màn 80G Black,85,1,1-CVAC06-BLK-C2-HV,0.000000
Vải Cotton VAC06 Black (19-4007 TCX) ép vải Kate Black,86,1,1-CVAC06-BLK-V1-HV,6.390000
Nhãn in Satin W16mm x H20mm Ci-CR-Size SM,87,0,8-CI0144-000-ST-TL,1203.410000
Vải Cotton VAC06 Black (19-4007 TCX) ép keo 1020 White,88,1,1-CVAC06-BLK-K8-HV,50.110600
Vải Cotton VAC06 Black (19-4007 TCX) ép keo 1025 White,89,1,1-CVAC06-BLK-K5-HV,0.000000
Vải Cotton VAC06 Black (19-4007 TCX) ép lưới màn 28G Black,90,1,1-CVAC06-BLK-L4-HV,0.000000
Vải Cotton VAC06 Black (19-4007 TCX) ép lưới màn 80G Black,91,1,1-CVAC06-BLK-L2-HV,56.697600
Vải Cotton VAC06 Black (19-4007 TCX) ép lưới màn 80G Black,92,1,1-CVAC06-BLK-L2-IW,0.000000
Vải Cotton VAC06 Black (19-4007 TCX) ép mút 2mm,93,1,1-CVAC06-BLK-M2-HV,9.052600
Vải Cotton VAC06 Black (19-4007 TCX) ép mút 5mm,94,1,1-CVAC06-BLK-M5-HV,8.340000
Vải Cotton VAC07 Gray (16-3850 TCX),96,0,1-CVAC07-GRY-00-HV,552.927200
Vải Cotton VAC07 Gray (16-3850 TCX) ép lưới màn 80G Black,97,1,1-CVAC07-GRY-L2-IW,0.000000
Vải Cotton VAC07 Gray (16-3850 TCX) ép lưới màn 80G Black,98,1,1-CVAC07-GRY-L2-HV,0.000000
Vải Cotton VAC07 Gray (16-3850 TCX) ép lưới màn 80G White,99,1,1-CVAC07-GRY-L1-IW,0.000000
Vải Cotton VAC07 Gray (16-3850 TCX) ép lưới màn 80G White,100,1,1-CVAC07-GRY-L1-HV,1.550000
Vải Cotton VAC07 Gray (16-3850 TCX) ép mút 2mm,101,1,1-CVAC07-GRY-M2-HV,0.000000
Vải Cotton VAC08 White (11-4001 TCX),102,0,1-CVAC08-WHI-00-HV,386.985900
Vải Cotton VAC08 White (11-4001 TCX) ép vải Kate White,103,1,1-CVAC08-BLK-V2-HV,1.200000
Vải Cotton VAC08 White (11-4001 TCX) ép lưới màn 80G White,105,1,1-CVAC08-WHI-L1-HV,0.520000
Vải Cotton VAC08 White (11-4001 TCX) ép mút 5mm,106,1,1-CVAC08-WHI-M5-HV,0.000000
Vải Cotton VAC09 Graphite (19-3908 TCX),107,0,1-CVAC09-GRP-00-HV,825.920100
Vải Cotton VAC09 Graphite (19-3908 TCX) cào nhung,108,0,1-CVAC09-GRP-CN-IW,0.000000
Vải Cotton VAC09 Graphite (19-3908 TCX) cào nhung,109,1,1-CVAC09-GRP-CN-HV,0.000000
Vải Cotton VAC09 Graphite (19-3908 TCX) ép lưới màn 80G Black,111,1,1-CVAC09-GRP-L2-HV,0.000000
Vải Cotton VAC09 Graphite (19-3908 TCX) ép mút 2mm,112,1,1-CVAC09-GRP-M2-HV,0.000000
Vải Cotton VAC09 Graphite (19-3908 TCX) ép mút 5mm,113,1,1-CVAC09-GRP-M5-HV,0.000000
Vải Cotton VAC10 Dark Royal (19-3939 TCX),114,0,1-CVAC10-DRO-00-IW,813.340000
Vải Cotton VAC10 Dark Royal (19-3939 TCX),115,0,1-CVAC10-DRO-00-HV,0.000000
Vải Cotton VAC10 Dark Royal (19-3939 TCX) ép lưới màn 80G Black,116,1,1-CVAC10-DRO-L2-IW,0.000000
Vải Cotton VAC10 Dark Royal (19-3939 TCX) ép lưới màn 80G Black,117,1,1-CVAC10-DRO-L2-HV,1.920000
Vải Cotton VAC11 Light Royal (19-3953 TCX),118,0,1-CVAC11-LRO-00-IW,500.490000
Vải Cotton VAC11 Light Royal (19-3953 TCX) ép vải Kate Black,119,1,1-CVAC11-LRO-V1-IW,0.000000
Vải Cotton VAC11 Light Royal (19-3953 TCX) ép vải 65/35 White,120,1,1-CVAC11-LRO-V4-IW,0.000000
Vải Cotton VAC11 Light Royal (19-3953 TCX) ép keo 1020 White,121,1,1-CVAC11-LRO-K8-IW,0.000000
Vải Cotton VAC12 Royal (19-3953 TCX),122,0,1-CVAC12-ROL-00-IW,91.137100
Vải Cotton VAC12 Royal (19-3953 TCX) ép vải Kate Black,123,1,1-CVAC12-ROL-V1-IW,0.000000
Vải Cotton VAC12 Royal (19-3953 TCX) ép lưới màn 80G Black,124,1,1-CVAC12-ROL-L2-IW,1.437500
Vải Cotton VAC12 Royal (19-3953 TCX) ép mút 2mm,125,1,1-CVAC12-ROL-M2-IW,0.000000
Vải Cotton VAC12 Royal (19-3953 TCX) ép mút 5mm,126,1,1-CVAC12-ROL-M5-IW,0.000000
Vải Cotton VAC13 Navy (19-4020 TCX),127,0,1-CVAC13-NA1-00-HV,666.159000
Vải Cotton VAC13 Navy (19-4020 TCX) ép vải Kate Black,128,1,1-CVAC13-NA1-V1-HV,0.000000
Vải Cotton VAC13 Navy (19-4020 TCX) ép lưới màn 80G Black,129,1,1-CVAC13-NA1-L2-HV,0.000000
Vải Cotton VAC13 Navy (19-4020 TCX) giãn,130,0,1-CVAC13-NAV-00-HS,144.000000
Vải Cotton VAC14 Navy 282C (19-3920 TCX),131,0,1-CVAC14-NAV-00-HV,350.960000
Vải Cotton VAC14 Navy 282C (19-3920 TCX) cào nhung,132,1,1-CVAC14-NAV-CN-HV,0.000000
Vải Cotton VAC14 Navy 282C (19-3920 TCX) ép vải Kate black,133,1,1-CVAC14-NAV-V1-HV,0.500000
Vải Cotton VAC14 Navy 282C (19-3920 TCX) ép keo 1020 White,134,1,1-CVAC14-NAV-K8-HV,0.000000
Vải Cotton VAC14 Navy 282C (19-3920 TCX) ép lưới màn 80G Black,135,1,1-CVAC14-NAV-L2-HV,1.830500
Vải Cotton VAC16 Pink,137,0,1-CVAC16-PNK-00-HV,969.837500
Vải Cotton VAC16 Pink ép vải Kate Black,138,1,1-CVAC16-PNK-V1-HV,0.000000
Vải Cotton VAC16 Pink ép vải Kate White,139,1,1-CVAC16-PNK-V2-HV,0.000000
Vải Cotton VAC16 Pink ép lưới màn 80G White,140,1,1-CVAC16-PNK-L1-HV,1.100000
Vải Cotton VAC16 Pink giãn ép lưới màn 80G Black,142,1,1-CVAC16-PNK-L2-HS,0.000000
Vải Cotton VAC16 Pink giãn ép lưới màn 80G White,143,1,1-CVAC16-PNK-L1-HS,0.000000
Vải Cotton VAC17 Dark Gray (19-3900 TCX),144,0,1-CVAC17-DGA-00-00,388.480900
Vải Cotton VAC17 Dark Gray (19-3900 TCX) ép lưới màn 80G Black,145,1,1-CVAC17-DGA-L2-00,0.140000
Vải Cotton VAC18 Fuchia (18-2436 TCX),146,0,1-CVAC18-FSH-00-HV,0.000000
Vải Cotton VAC20 Sky Blue (17-4139 TCX),147,0,1-CVAC20-SBL-00-IW,508.618000
Vải Cotton VAC20 Sky Blue (17-4139 TCX) ép lưới màn 80G White,148,1,1-CVAC20-SBL-L1-IW,0.000000
Vải Cotton VAC22 Blue Azure (19-4052 TCX),149,0,1-CVAC22-BAE-00-IW,147.296000
Vải Cotton VAC22 Blue Azure (19-4052 TCX) ép lưới màn 80G Black,150,1,1-CVAC22-BAE-L2-IW,0.000000
Vải Cotton VAC23 Neon Green,151,0,1-CVAC23-NGR-00-HV,1.130000
Vải Cotton VAC24 Kelly Green (18-5845 TCX),152,0,1-CVAC24-KGR-00-HV,578.913700
Vải Cotton VAC24 Kelly Green (18-5845 TCX) ép lưới màn 80G Black,153,1,1-CVAC24-KGR-L2-HV,0.000000
Vải Cotton VAC25 Dark Green (19-5411 TCX) cào nhung,155,1,1-CVAC25-DGR-CN-IW,225.600000
Vải Cotton VAC25 Dark Green (19-5917 TCX),156,0,1-CVAC25-DGR-00-IW,48.926000
Vải Cotton VAC25 Dark Green (19-5917 TCX) ép lưới màn 80G Black,157,1,1-CVAC25-DGR-L2-IW,0.790000
Vải Cotton VAC26 Red 485C (18-1564 TCX),158,0,1-CVAC26-RED-00-IW,409.120000
Vải Cotton VAC27 Teal (17-5126 TCX),159,0,1-CVAC27-TEA-00-IW,648.640000
Vải Cotton VAC27 Teal (17-5126 TCX ) ép vải Kate Black,160,1,1-CVAC27-TEA-V1-IW,0.000000
Vải Cotton VAC27 Teal (17-5126 TCX ) ép lưới màn 80G Black,161,1,1-CVAC27-TEA-L2-IW,0.000000
Vải Cotton VAC27 Teal (17-5126 TCX ) ép lưới màn 80G White,162,1,1-CVAC27-TEA-L1-IW,0.000000
Vải Cotton VAC28 A Gold (14-1064 TCX),163,0,1-CVAC28-AGD-00-HV,845.240000
Vải Cotton VAC28 A Gold (14-1064 TCX) ép vải Kate White,164,1,1-CVAC28-AGD-V4-HV,0.000000
Vải Cotton VAC28 A Gold (14-1064 TCX) ép keo 1020 White,165,1,1-CVAC28-AGD-K8-HV,0.000000
Vải Cotton VAC28 A Gold (14-1064 TCX) ép lưới màn 80G White,166,1,1-CVAC28-AGD-L1-HV,0.000000
Vải Cotton VAC29 Gold (17-1022 TCX),167,0,1-CVAC29-GLD-00-HV,34.580000
Vải Cotton VAC30 Air Force Blue (17-4041 TCX),168,0,1-CVAC30-AFB-00-IW,291.380000
Vải Cotton VAC31 Navy 7546C (19-3923 TCX) cào nhung,169,0,1-CVAC31-NAV-CN-IW,677.600000
Vải Cotton VAC31 Navy 7546C (19-3923 TCX) cào nhung,170,0,1-CVAC31-NA3-CN-HV,78.700000
Vải Cotton VAC32 Beige (15-1116 TCX),171,0,1-CVAC32-BGE-00-HV,1125.600000
Vải Cotton VAC32 Beige (15-1116 TCX) cào nhung,173,1,1-CVAC32-BGE-CN-HV,0.000000
Vải Cotton VAC32 Beige (15-1116 TCX) ép lưới màn 80G White,174,1,1-CVAC32-BGE-L1-IW,0.000000
Vải Cotton VAC32 Beige (15-1116 TCX) ép lưới màn 80G White,175,1,1-CVAC32-BGE-L1-HV,6.000000
Vải Cotton VAC32 Beige (15-1116 TCX) ép mút 2mm,176,1,1-CVAC32-BGE-M2-HV,0.000000
Vải Cotton VAC33 H Red (19-1531 TCX),177,0,1-CVAC33-HRE-00-IW,531.951400
Vải Cotton VAC33 H Red (19-1531 TCX) ép lưới màn 80G Black,178,1,1-CVAC33-HRE-L2-IW,0.090000
Vải Cotton VAC34 Purple (19-3842 TCX),179,0,1-CVAC34-PLE-00-HV,147.000000
Vải Cotton VAC35 Warm Gray 1C cào nhung,181,1,1-CVAC35-WGY-CN-HV,0.000000
Vải Cotton VAC35 Warm Gray 1C cào nhung,182,0,1-VAC35N-WGY-00-IW,242.700000
Vải Cotton VAC35 Warm Gray 1C cào nhung ép vải Kate White,183,1,1-CVAC35-WGY-C3-HV,0.000000
Vải Cotton VAC36 Storm Gray (18-4016 TCX) ép mút 5mm,185,1,1-CVAC36-SGR-M5-IW,0.000000
Vải Cotton VAC36 Storm Gray (18-4016 TCX),187,0,1-CVAC36-SGR-00-HV,334.940000
Vải Cotton VAC36 Storm Gray (18-4016 TCX) ép vải Kate Black,188,1,1-CVAC36-SGR-V1-IW,0.000000
Vải Cotton VAC36 Storm Gray (18-4016 TCX) ép lưới màn 80G Black,189,1,1-CVAC36-SGR-L2-IW,0.000000
Vải Cotton VAC36 Storm Gray (18-4016 TCX) ép lưới màn 80G Black,190,1,1-CVAC36-SGR-L2-HV,0.920000
Vải Cotton VAC36 Storm Gray (18-4016 TCX) ép lưới màn 80G White,191,1,1-CVAC36-RGD-L1-IW,0.000000
Vải Cotton VAC39 R Gold (15-1147 TCX),192,0,1-CVAC39-RGD-00-IW,602.930000
Vải Cotton VAC39 R Gold (15-1147 TCX) cào nhung,193,1,1-CVAC39-RGD-CN-IW,0.000000
Vải Cotton VAC40 Vegas Gold (14-1110 TCX),194,0,1-CVAC40-VGO-00-HV,557.450000
Vải Cotton VAC42 Clemson Orange (17-1562 TCX),198,0,1-CVAC42-CLO-00-IW,44.600000
Vải Cotton VAC43 Varsity Purple (18-3838 TCX),199,0,1-CVAC43-VPE-00-IW,13.400000
Vải Cotton VAC43 Varsity Purple (18-3838 TCX) ép lưới màn 80G Black,200,1,1-CVAC43-VPE-L2-IW,0.000000
Vải Cotton VAC44 Cyber Yellow (13-0752 TCX),201,0,1-CVAC44-CYL-00-IW,463.840000
Vải Cotton VAC44 Cyber Yellow (13-0752 TCX) ép keo 1020 White,202,1,1-CVAC44-CYL-K8-IW,0.000000
Vải Cotton VAC44 Cyber Yellow (13-0752 TCX) ép lưới màn 80G White,203,1,1-CVAC44-CYL-L1-IW,0.000000
Vải Cotton VAC48 Vice Blue (16-4535 TCX),204,0,1-CVAC48-VBL-00-IW,401.982500
Vải Cotton VAC48 Vice Blue (16-4535 TCX) ép lưới màn 80G White,205,1,1-CVAC48-VBL-L1-IW,0.000000
Vải Cotton VAC48 Vice Blue (16-4535 TCX) ép vải Kate Vice Blue,206,1,1-CVAC48-VBL-V5-IW,0.000000
Vải Cotton VAC49 Deep Purple (19-3737 TCX),207,0,1-CVAC49-DPE-00-IW,42.000000
Vải Cotton VAC49 Deep Purple (19-3737 TCX),208,0,1-CVAC49-DPE-00-HV,485.519000
Vải Cotton VAC49 Deep Purple (19-3737 TCX) ép vải Kate Black,209,1,1-CVAC49-DPE-V1-HV,0.000000
Vải Cotton VAC49 Deep Purple (19-3737 TCX) ép keo 1020 White,210,1,1-CVAC49-DPE-K8-HV,0.000000
Vải Cotton VAC49 Deep Purple (19-3737 TCX) ép lưới màn 80G Black,211,1,1-CVAC49-DPE-L2-HV,0.000000
Vải Cotton VAC50 Island Green (16-6138 TCX),212,0,1-CVAC50-ILG-00-IW,161.270000
Vải Cotton VAC51 Brown -1222 TCX giãn ( mộc Hwa Soo),213,0,1-DA1222-BRO-00-PH,0.000000
Vải Cotton VAC51 Brown (18-0903 TCX) giãn,214,0,1-CVAC51-BRO-00-HS,663.900000
Vải Cotton VAC51 Brown (18-0903 TCX) giãn ép lưới màn 80G Black,215,1,1-CVAC51-BRO-L2-HS,0.000000
Vải Cotton VAC52 Wheat,216,0,1-CVAC52-WHE-00-AK,0.000000
Vải Cotton VAC52 Wheat (17-1044 TCX) cào nhung,218,1,1-CVAC52-WHE-CN-IW,0.000000
Vải Cotton VAC52 Wheat (17-1044 TCX) ép lưới màn 80G Black,219,1,1-CVAC52-WHE-L5-IW,0.000000
Vải Cotton VAC52 Wheat 2468C,220,0,1-CVAC52-WHE-00-HV,65.280000
Vải Cotton VAC52 Wheat 2468C ép lưới màn 80G Black,221,1,1-CVAC52-WHE-L5-HV,0.000000
Vải Cotton VAC52 Wheat 2468C cào nhung,222,1,1-CVAC52-WHE-CN-HV,25.600000
Vải Cotton VAC52 Wheat cào nhung,223,1,1-CVAC52-WHE-CN-AK,0.000000
Vải Cotton VAC53 Dark Wheat (18-0930 TCX),225,0,1-CVAC53-DHE-00-HV,326.290000
Vải Cotton VAC54 Ivory (11-0701 TCX),228,0,1-CVAC54-IVO-00-HV,1157.670000
Vải Cotton VAC54 Ivory (11-0701 TCX) ép lưới màn 80G White,229,1,1-CVAC54-IVO-L1-IW,0.000000
Vải Cotton VAC54 Ivory (11-0701 TCX) ép lưới màn 80G White,230,1,1-CVAC54-IVO-L1-HV,1.200000
Vải Cotton VAC55 Mint (15-5217 TCX),231,0,1-CVAC55-MIN-00-IW,324.728000
Vải Cotton VAC55 Mint (15-5217 TCX) ép lưới màn 80G White,232,1,1-CVAC55-MIN-L1-IW,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX),235,0,1-CVAC57-OLI-00-HV,606.835000
Vải Cotton VAC57 Olive (19-0512 TCX) cào nhung,236,1,1-CVAC57-OLI-CN-HV,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX) ép keo 1020 White,237,1,1-CVAC57-OLI-K8-HV,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX) ép keo 1025 White,238,1,1-CVAC57-OLI-K5-IW,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX) ép lưới màn 80G Black,239,1,1-CVAC57-OLI-L2-IW,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX) ép lưới màn 80G Black,240,1,1-CVAC57-OLI-L2-HV,0.700000
Vải Cotton VAC57 Olive (19-0512 TCX) ép lưới màn 80G White,241,1,1-CVAC57-OLI-L1-IW,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX) ép lưới màn 80G White,242,1,1-CVAC57-OLI-L1-HV,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX) ép mút 2mm,243,1,1-CVAC57-OLI-M2-IW,0.000000
Vải Cotton VAC57 Olive (19-0512 TCX) ép mút 5mm,244,1,1-CVAC57-OLI-M5-IW,0.000000
Vải Cotton VAC58 Walnut (19-0614 TCX),245,0,1-CVAC58-WAL-00-IW,829.800000
Vải Cotton VAC58 Walnut (19-0614 TCX) cào nhung,246,1,1-CVAC58-WAL-CN-IW,0.000000
Vải Cotton VAC58 Walnut (19-0614 TCX) ép keo 1020 white,247,1,1-CVAC58-WAL-K8-IW,0.000000
Vải Cotton VAC59 Oceanside Blue (19-4024 TCX),249,0,1-CVAC59-OSB-00-HV,1040.006500
Vải Cotton VAC59 Oceanside Blue (19-4024 TCX),250,0,1-CVAC59-OSB-00-KJ,15.000000
Vải Cotton VAC59 Oceanside Blue (19-4024 TCX) ép lưới màn 80G Black,253,1,1-CVAC59-OSB-L2-KJ,0.000000
Vải Cotton VAC59 Oceanside Blue (19-4024 TCX) ép lưới màn 80G Black,254,1,1-CVAC59-OSB-L2-HV,1.420000
Vải Cotton VAC59 Oceanside Blue (19-4024 TCX) ép mút 2mm,256,1,1-CVAC59-OSB-M2-IW,0.000000
Vải Cotton VAC59 Oceanside Blue (19-4024 TCX) No.299,257,0,1-CVAC59-OSB-00-CA,0.000000
Vải Cotton VAC62 Lime Green (15-6442 TCX),258,0,1-CVAC62-LMG-00-IW,39.500000
Vải Cotton VAC63 A Qua (18-5025 TCX),259,0,1-CVAC63-AQA-00-IW,804.478000
Vải Cotton VAC63 A Qua (18-5025 TCX) ép lưới màn 80G Black,260,1,1-CVAC63-AQA-L2-IW,0.000000
Vải Cotton VAC65 Sea Green (18-6024 TCX),262,0,1-CVAC65-SGN-00-IW,284.100001
Vải Cotton VAC65 Sea Green (18-6024 TCX) ép lưới màn 80G Black,263,1,1-CVAC65-SGN-L2-IW,0.000000
Vải Cotton VAC67 Turquoise (17-5330 TCX),264,0,1-CVAC67-TRQ-00-IW,875.360000
Vải Cotton VAC68 Green (15-0545 TCX),265,0,1-CVAC68-GRN-00-IW,187.000000
Vải Cotton VAC68 Green (15-0545 TCX) ép lưới màn 80G White,266,1,1-CVAC68-GRN-L1-IW,0.000000
Vải Cotton VAC69 Dolphin Gray (14-4202 TCX),267,0,1-CVAC69-DPY-00-IW,8.000000
Vải Cotton VAC69 Dolphin Gray (14-4202 TCX) ép lưới màn 80G Black,268,1,1-CVAC69-DPY-L2-IW,0.000000
Vải Cotton VAC69 Dolphin Gray (14-4202 TCX) ép lưới màn 80G White,269,1,1-CVAC69-DPY-L1-IW,0.000000
Vải Cotton VAC70 Dark Green (19-5411 TCX),270,0,1-CVAC70-DGR-00-HV,552.100000
Vải Cotton VAC70 Dark Green (19-5411 TCX) cào nhung,271,1,1-CVAC70-DGR-CN-HV,548.500000
Vải Cotton VAC70 Dark Green (19-5411 TCX) ép lưới màn 80G Black,272,1,1-CVAC70-DGR-L2-HV,0.900000
Vải Cotton VAC71 Rush Orange (17-1464 TCX),273,0,1-CVAC71-ROR-00-IW,661.230000
Vải Cotton VAC71 Rush Orange (17-1464 TCX) ép lưới màn 80G White,274,1,1-CVAC71-ROR-L1-IW,0.000000
