product_code,order_id,production_order_id,production_code,quantity_production_order,quantity_exported_production_order,time_create,completed_at,time_stock_out
9-B03680-WHI-00-HN,3,36,PYC-12-THUDUC,4.000000,4.000000,2022-05-20,2022-05-21,2022-06-02
3-NH950V-BLK-23-CY,3,36,PYC-12-THUDUC,100.000000,100.000000,2022-05-20,2022-05-21,2022-06-02
8-BF0092-000-00-TL,3,51,PYC-13-THUDUC,100.000000,100.000000,2022-05-23,2022-05-24,2022-05-27
1-L31014-BLK-00-DD,3,96,PYC-44-CAT,6.100000,6.100000,2022-05-27,2022-05-28,2022-05-29
1-L31014-BLK-L2-DD,3,96,PYC-44-CAT,7.800000,7.800000,2022-05-27,2022-05-28,2022-05-29
9-X44317-Y00-5L-BN,3,114,PYC-16-THUDUC,1.000000,1.000000,2022-05-30,2022-05-31,2022-06-04
7-CM0BLK-BLK-50-PP,4,30,PYC-09-THUDUC,1.000000,1.000000,2022-05-19,2022-05-20,2022-05-19
2-GANXAM-GRY-00-WW,4,34,PYC-17-CAT,1.700000,1.700000,2022-05-20,2022-05-21,2022-05-23
9-NS3C02-000-00-NT,4,35,PYC-11-THUDUC,50.000000,50.000000,2022-05-20,2022-05-21,2022-05-21
6-NH7000-BLK-00-WW,4,36,PYC-12-THUDUC,50.000000,50.000000,2022-05-20,2022-05-21,2022-06-02
9-B03680-WHI-00-HN,4,36,PYC-12-THUDUC,2.000000,2.000000,2022-05-20,2022-05-21,2022-06-02
3-N950KV-BLK-23-CY,4,36,PYC-12-THUDUC,50.000000,50.000000,2022-05-20,2022-05-21,2022-06-02
8-BF0092-000-00-TL,4,51,PYC-13-THUDUC,50.000000,50.000000,2022-05-23,2022-05-24,2022-05-27
1-L31014-BLK-00-DD,4,96,PYC-44-CAT,3.100000,3.100000,2022-05-27,2022-05-28,2022-05-29
1-L31014-BLK-L2-DD,4,96,PYC-44-CAT,4.000000,4.000000,2022-05-27,2022-05-28,2022-05-29
9-X44317-Y00-5L-BN,4,114,PYC-16-THUDUC,0.500000,0.500000,2022-05-30,2022-05-31,2022-06-04
4-KATEIN-BLK-N0-28,4,659,PYC-232-PHOI,79.800000,79.800000,2022-07-15,2022-07-16,2022-07-16
9-NS3C02-000-00-NT,5,35,PYC-11-THUDUC,50.000000,50.000000,2022-05-20,2022-05-21,2022-05-21
6-NH7000-WHI-00-WW,5,36,PYC-12-THUDUC,50.000000,50.000000,2022-05-20,2022-05-21,2022-06-02
7-CM1712-WHI-50-PP,5,36,PYC-12-THUDUC,0.500000,0.500000,2022-05-20,2022-05-21,2022-06-02
9-B03680-WHI-00-HN,5,36,PYC-12-THUDUC,2.000000,2.000000,2022-05-20,2022-05-21,2022-06-02
8-BF0092-000-00-TL,5,51,PYC-13-THUDUC,50.000000,50.000000,2022-05-23,2022-05-24,2022-05-27
3-NH950V-WHI-23-CY,5,51,PYC-13-THUDUC,50.000000,50.000000,2022-05-23,2022-05-24,2022-05-27
1-L31014-WHI-00-DD,5,57,PYC-27-CAT,3.100000,3.100000,2022-05-24,2022-05-25,2022-05-25
1-L31014-WHI-L1-DD,5,57,PYC-27-CAT,4.000000,4.000000,2022-05-24,2022-05-25,2022-05-25
9-X44317-Y00-5L-BN,5,114,PYC-16-THUDUC,0.500000,0.500000,2022-05-30,2022-05-31,2022-06-04
2-M83200-WHI-00-DI,5,285,PYC-118-CAT,1.600000,1.600000,2022-06-14,2022-06-15,2022-06-14
2-M83200-WHI-00-DI,6,285,PYC-118-CAT,3.400000,3.400000,2022-06-14,2022-06-15,2022-06-14
9-NS3C02-000-00-NT,6,35,PYC-11-THUDUC,100.000000,100.000000,2022-05-20,2022-05-21,2022-05-21
6-NH7000-WHI-00-WW,6,36,PYC-12-THUDUC,100.000000,100.000000,2022-05-20,2022-05-21,2022-06-02
7-CM1712-WHI-50-PP,6,36,PYC-12-THUDUC,1.000000,1.000000,2022-05-20,2022-05-21,2022-06-02
9-B03680-WHI-00-HN,6,36,PYC-12-THUDUC,4.000000,4.000000,2022-05-20,2022-05-21,2022-06-02
8-BF0092-000-00-TL,6,51,PYC-13-THUDUC,100.000000,100.000000,2022-05-23,2022-05-24,2022-05-27
3-NH950V-WHI-23-CY,6,51,PYC-13-THUDUC,100.000000,100.000000,2022-05-23,2022-05-24,2022-05-27
1-L31014-WHI-00-DD,6,57,PYC-27-CAT,6.100000,6.100000,2022-05-24,2022-05-25,2022-05-25
1-L31014-WHI-L1-DD,6,57,PYC-27-CAT,7.800000,7.800000,2022-05-24,2022-05-25,2022-05-25
9-X44317-Y00-5L-BN,6,114,PYC-16-THUDUC,1.000000,1.000000,2022-05-30,2022-05-31,2022-06-04
9-NS3C02-000-00-NT,7,35,PYC-11-THUDUC,50.000000,50.000000,2022-05-20,2022-05-21,2022-05-21
6-NH7000-WHI-00-WW,7,36,PYC-12-THUDUC,50.000000,50.000000,2022-05-20,2022-05-21,2022-06-02
7-CM1712-WHI-50-PP,7,36,PYC-12-THUDUC,0.500000,0.500000,2022-05-20,2022-05-21,2022-06-02
9-B03680-WHI-00-HN,7,36,PYC-12-THUDUC,2.000000,2.000000,2022-05-20,2022-05-21,2022-06-02
8-BF0092-000-00-TL,7,51,PYC-13-THUDUC,50.000000,50.000000,2022-05-23,2022-05-24,2022-05-27
3-N950KV-WHI-23-CY,7,51,PYC-13-THUDUC,50.000000,50.000000,2022-05-23,2022-05-24,2022-05-27
1-L31014-WHI-00-DD,7,57,PYC-27-CAT,3.100000,3.100000,2022-05-24,2022-05-25,2022-05-25
1-L31014-WHI-L1-DD,7,57,PYC-27-CAT,4.000000,4.000000,2022-05-24,2022-05-25,2022-05-25
9-X44317-Y00-5L-BN,7,114,PYC-16-THUDUC,0.500000,0.500000,2022-05-30,2022-05-31,2022-06-04
2-M83200-WHI-00-DI,7,285,PYC-118-CAT,1.700000,1.700000,2022-06-14,2022-06-15,2022-06-14
2-M83200-BLK-00-DI,8,34,PYC-17-CAT,10.200000,10.200000,2022-05-20,2022-05-21,2022-05-23
3-NH950V-BLK-23-CY,8,78,PYC-32-PHOI,301.000000,301.000000,2022-05-25,2022-05-26,2022-05-27
7-CM5953-GRN-50-PP,8,81,PYC-31-PHOI,3.000000,3.000000,2022-05-26,2022-05-27,2022-05-27
7-CM0BLK-BLK-50-PP,8,81,PYC-31-PHOI,3.000000,3.000000,2022-05-26,2022-05-27,2022-05-27
9-NS3C02-000-00-NT,8,82,PYC-34-PHOI,307.000000,307.000000,2022-05-26,2022-05-27,2022-05-27
6-NH7000-BLK-00-WW,8,83,PYC-35-PHOI,301.000000,301.000000,2022-05-26,2022-05-27,2022-05-27
8-BF0037-000-DE-TL,8,83,PYC-35-PHOI,301.000000,301.000000,2022-05-26,2022-05-27,2022-05-27
9-BBF001-WHI-IN-HN,8,83,PYC-35-PHOI,301.000000,301.000000,2022-05-26,2022-05-27,2022-05-27
4-NYLOWW-BLK-N0-28,8,83,PYC-35-PHOI,447.000000,447.000000,2022-05-26,2022-05-27,2022-05-27
1-SUEDE0-BLK-L2-TQ,8,138,PYC-56-CAT,7.600000,7.600000,2022-06-01,2022-06-02,2022-06-05
1-SUEDE0-CPG-L2-TQ,8,138,PYC-56-CAT,27.100000,27.100000,2022-06-01,2022-06-02,2022-06-05
1-POGXIN-WHI-V3-DK,8,171,PYC-69-CAT,7.200000,7.200000,2022-06-04,2022-06-06,2022-06-05
2-GANXAM-GRY-00-WW,9,34,PYC-17-CAT,27.200000,27.200000,2022-05-20,2022-05-21,2022-05-23
3-NH950V-BLK-23-CY,9,78,PYC-32-PHOI,801.000000,801.000000,2022-05-25,2022-05-26,2022-05-27
7-CM2336-DBR-50-PP,9,81,PYC-31-PHOI,6.000000,6.000000,2022-05-26,2022-05-27,2022-05-27
7-CM3822-RED-50-PP,9,81,PYC-31-PHOI,3.000000,3.000000,2022-05-26,2022-05-27,2022-05-27
7-CM0BLK-BLK-50-PP,9,81,PYC-31-PHOI,8.000000,8.000000,2022-05-26,2022-05-27,2022-05-27
7-CM8357-BGE-50-PP,9,81,PYC-31-PHOI,8.000000,7.000000,2022-05-26,2022-05-27,2022-05-27
7-CM8357-BGE-50-PP,9,81,PYC-31-PHOI,8.000000,1.000000,2022-05-26,2022-05-27,2022-05-27
9-NS3C02-000-00-NT,9,82,PYC-34-PHOI,801.000000,801.000000,2022-05-26,2022-05-27,2022-05-27
6-NH7000-WHT-00-WW,9,83,PYC-35-PHOI,801.000000,801.000000,2022-05-26,2022-05-27,2022-05-27
9-BBF001-WHI-IN-HN,9,83,PYC-35-PHOI,801.000000,801.000000,2022-05-26,2022-05-27,2022-05-27
4-NYLOWW-BLK-N0-28,9,83,PYC-35-PHOI,1189.500000,1189.500000,2022-05-26,2022-05-27,2022-05-27
1-CVAC40-VGO-00-HV,9,131,PYC-54-CAT,68.800000,68.800000,2022-06-01,2022-06-02,2022-06-06
1-SUEDE0-BRO-L2-TQ,9,138,PYC-56-CAT,21.000000,21.000000,2022-06-01,2022-06-02,2022-06-05
1-POGXIN-WHI-V3-DK,9,171,PYC-69-CAT,18.300000,18.300000,2022-06-04,2022-06-06,2022-06-05
8-BF0037-000-DE-TL,9,209,PYC-83-PHOI,801.000000,801.000000,2022-06-08,2022-06-09,2022-06-14
8-BF0037-000-DE-TL,10,209,PYC-83-PHOI,501.000000,501.000000,2022-06-08,2022-06-09,2022-06-14
2-M83200-BLK-00-DI,10,34,PYC-17-CAT,17.000000,17.000000,2022-05-20,2022-05-21,2022-05-23
3-NH950V-BLK-23-CY,10,78,PYC-32-PHOI,501.000000,501.000000,2022-05-25,2022-05-26,2022-05-27
7-CM2232-ORA-50-PP,10,81,PYC-31-PHOI,1.500000,1.500000,2022-05-26,2022-05-27,2022-05-27
7-CM0BLK-BLK-50-PP,10,81,PYC-31-PHOI,6.000000,6.000000,2022-05-26,2022-05-27,2022-05-27
7-CM4926-PLE-50-PP,10,81,PYC-31-PHOI,5.000000,5.000000,2022-05-26,2022-05-27,2022-05-27
9-NS3C02-000-00-NT,10,82,PYC-34-PHOI,501.000000,501.000000,2022-05-26,2022-05-27,2022-05-27
6-NH7000-BLK-00-WW,10,83,PYC-35-PHOI,501.000000,501.000000,2022-05-26,2022-05-27,2022-05-27
9-BBF001-WHI-IN-HN,10,83,PYC-35-PHOI,501.000000,501.000000,2022-05-26,2022-05-27,2022-05-27
4-NYLOWW-BLK-N0-28,10,83,PYC-35-PHOI,744.000000,744.000000,2022-05-26,2022-05-27,2022-05-27
1-COVAC0-ONG-00-CA,10,138,PYC-56-CAT,3.000000,3.000000,2022-06-01,2022-06-02,2022-06-05
1-SUEDE0-BLK-L2-TQ,10,138,PYC-56-CAT,12.300000,12.300000,2022-06-01,2022-06-02,2022-06-05
1-SUEDE0-WIP-L2-TQ,10,138,PYC-56-CAT,43.700000,43.700000,2022-06-01,2022-06-02,2022-06-05
1-POGXIN-WHI-V3-DK,10,171,PYC-69-CAT,11.700000,11.700000,2022-06-04,2022-06-06,2022-06-05
2-M83200-BLK-00-DI,11,34,PYC-17-CAT,17.000000,17.000000,2022-05-20,2022-05-21,2022-05-23
3-NH950V-BLK-23-CY,11,78,PYC-32-PHOI,501.000000,501.000000,2022-05-25,2022-05-26,2022-05-27
7-CM2232-ORA-50-PP,11,81,PYC-31-PHOI,1.500000,1.500000,2022-05-26,2022-05-27,2022-05-27
7-CM0BLK-BLK-50-PP,11,81,PYC-31-PHOI,10.000000,10.000000,2022-05-26,2022-05-27,2022-05-27
9-NS3C02-000-00-NT,11,82,PYC-34-PHOI,501.000000,501.000000,2022-05-26,2022-05-27,2022-05-27
6-NH7000-BLK-00-WW,11,83,PYC-35-PHOI,501.000000,501.000000,2022-05-26,2022-05-27,2022-05-27
9-BBF001-WHI-IN-HN,11,83,PYC-35-PHOI,501.000000,501.000000,2022-05-26,2022-05-27,2022-05-27
4-NYLOWW-BLK-N0-28,11,83,PYC-35-PHOI,744.000000,744.000000,2022-05-26,2022-05-27,2022-05-27
1-COVAC0-ONG-00-CA,11,138,PYC-56-CAT,3.000000,3.000000,2022-06-01,2022-06-02,2022-06-05
1-SUEDE0-BLK-L2-TQ,11,138,PYC-56-CAT,56.200000,56.200000,2022-06-01,2022-06-02,2022-06-05
1-POGXIN-WHI-V3-DK,11,171,PYC-69-CAT,11.700000,11.700000,2022-06-04,2022-06-06,2022-06-05
8-BF0037-000-DE-TL,11,209,PYC-83-PHOI,501.000000,501.000000,2022-06-08,2022-06-09,2022-06-14
1-CVAC06-BLK-00-HV,12,28,PYC-14-CAT,7.000000,7.000000,2022-05-18,2022-05-19,2022-05-19
7-CM0BLK-BLK-50-PP,12,30,PYC-09-THUDUC,1.000000,1.000000,2022-05-19,2022-05-20,2022-05-19
6-NH7000-BLK-00-WW,12,32,PYC-10-THUDUC,51.000000,51.000000,2022-05-19,2022-05-20,2022-05-24
8-BF0060-000-DE-TL,12,32,PYC-10-THUDUC,51.000000,51.000000,2022-05-19,2022-05-20,2022-05-24
7-CM0BLK-BLK-50-PP,12,32,PYC-10-THUDUC,1.000000,1.000000,2022-05-19,2022-05-20,2022-05-24
9-NS3C02-000-00-NT,12,32,PYC-10-THUDUC,53.000000,53.000000,2022-05-19,2022-05-20,2022-05-24
9-HCHOAM-000-00-NP,12,32,PYC-10-THUDUC,2.000000,2.000000,2022-05-19,2022-05-20,2022-05-24
9-B03680-WHI-00-HN,12,32,PYC-10-THUDUC,2.000000,2.000000,2022-05-19,2022-05-20,2022-05-24
4-CVAC06-BLK-A0-35,12,32,PYC-10-THUDUC,32.100000,32.100000,2022-05-19,2022-05-20,2022-05-24
3-NH0675-BLK-23-CY,12,32,PYC-10-THUDUC,51.000000,51.000000,2022-05-19,2022-05-20,2022-05-24
2-GANXAM-GRY-00-WW,12,34,PYC-17-CAT,1.700000,1.700000,2022-05-20,2022-05-21,2022-05-23
9-X44317-Y00-5L-BN,12,114,PYC-16-THUDUC,0.500000,0.500000,2022-05-30,2022-05-31,2022-06-04
1-CVAC06-BLK-00-HV,13,28,PYC-14-CAT,7.000000,7.000000,2022-05-18,2022-05-19,2022-05-19
7-CM0BLK-BLK-50-PP,13,30,PYC-09-THUDUC,1.000000,1.000000,2022-05-19,2022-05-20,2022-05-19
6-NH7000-BLK-00-WW,13,32,PYC-10-THUDUC,51.000000,51.000000,2022-05-19,2022-05-20,2022-05-24
8-BF0060-000-DE-TL,13,32,PYC-10-THUDUC,51.000000,51.000000,2022-05-19,2022-05-20,2022-05-24
7-CM0BLK-BLK-50-PP,13,32,PYC-10-THUDUC,1.000000,1.000000,2022-05-19,2022-05-20,2022-05-24
9-NS3C02-000-00-NT,13,32,PYC-10-THUDUC,53.000000,53.000000,2022-05-19,2022-05-20,2022-05-24
9-HCHOAM-000-00-NP,13,32,PYC-10-THUDUC,2.000000,2.000000,2022-05-19,2022-05-20,2022-05-24
9-B03680-WHI-00-HN,13,32,PYC-10-THUDUC,2.000000,2.000000,2022-05-19,2022-05-20,2022-05-24
4-CVAC06-BLK-A0-35,13,32,PYC-10-THUDUC,32.100000,32.100000,2022-05-19,2022-05-20,2022-05-24
3-NH0675-BLK-23-CY,13,32,PYC-10-THUDUC,51.000000,51.000000,2022-05-19,2022-05-20,2022-05-24
2-GANXAM-GRY-00-WW,13,34,PYC-17-CAT,1.700000,1.700000,2022-05-20,2022-05-21,2022-05-23
9-X44317-Y00-5L-BN,13,114,PYC-16-THUDUC,0.500000,0.500000,2022-05-30,2022-05-31,2022-06-04
1-CVAC06-BLK-00-HV,14,22,PYC-10-CAT,58.000000,58.000000,2022-05-17,2022-05-18,2022-05-18
6-DCS013-000-00-KP,14,24,PYC-08-THUDUC,400.000000,400.000000,2022-05-17,2022-05-18,2022-05-25
8-BF0005-000-DE-TL,14,24,PYC-08-THUDUC,400.000000,400.000000,2022-05-17,2022-05-18,2022-05-25
9-GL350G-000-00-NA,14,24,PYC-08-THUDUC,400.000000,400.000000,2022-05-17,2022-05-18,2022-05-25
9-NS3C02-000-00-NT,14,24,PYC-08-THUDUC,405.000000,405.000000,2022-05-17,2022-05-18,2022-05-25
9-B03640-0BF-IN-HN,14,24,PYC-08-THUDUC,400.000000,400.000000,2022-05-17,2022-05-18,2022-05-25
4-CVAC06-BLK-D0-30,14,24,PYC-08-THUDUC,252.000000,58.856000,2022-05-17,2022-05-18,2022-06-14
4-CVAC06-BLK-D0-30,14,24,PYC-08-THUDUC,252.000000,193.144000,2022-05-17,2022-05-18,2022-06-14
3-NH2302-BLK-23-CY,14,24,PYC-08-THUDUC,400.000000,400.000000,2022-05-17,2022-05-18,2022-05-25
7-CM0BLK-BLK-50-PP,14,30,PYC-09-THUDUC,8.000000,8.000000,2022-05-19,2022-05-20,2022-05-19
9-X44317-Y00-5L-BN,14,114,PYC-16-THUDUC,4.000000,4.000000,2022-05-30,2022-05-31,2022-06-04
4-CVAC06-BLK-D6-30,14,229,PYC-23-THUDUC,252.000000,252.000000,2022-06-10,2022-06-11,2022-06-13
1-CVAC07-GRY-00-HV,15,22,PYC-10-CAT,29.800000,29.800000,2022-05-17,2022-05-18,2022-05-18
6-DCS013-000-00-KP,15,24,PYC-08-THUDUC,200.000000,200.000000,2022-05-17,2022-05-18,2022-05-25
7-CM9633-QRY-50-PP,15,24,PYC-08-THUDUC,4.000000,4.000000,2022-05-17,2022-05-18,2022-05-25
8-BF0005-000-DE-TL,15,24,PYC-08-THUDUC,200.000000,200.000000,2022-05-17,2022-05-18,2022-05-25
9-GL350G-000-00-NA,15,24,PYC-08-THUDUC,200.000000,200.000000,2022-05-17,2022-05-18,2022-05-25
9-NS3C02-000-00-NT,15,24,PYC-08-THUDUC,200.000000,200.000000,2022-05-17,2022-05-18,2022-05-25
9-B03640-0BF-IN-HN,15,24,PYC-08-THUDUC,200.000000,200.000000,2022-05-17,2022-05-18,2022-05-25
4-KATEHV-GRY-N0-28,15,24,PYC-08-THUDUC,297.000000,297.000000,2022-05-17,2022-05-18,2022-05-25
3-NH2302-WHI-23-CY,15,24,PYC-08-THUDUC,200.000000,200.000000,2022-05-17,2022-05-18,2022-05-25
9-X44317-Y00-5L-BN,15,114,PYC-16-THUDUC,2.000000,2.000000,2022-05-30,2022-05-31,2022-06-04
1-CVAC91-PLL-00-HV,16,22,PYC-10-CAT,14.800000,14.800000,2022-05-17,2022-05-18,2022-05-18
6-DCS013-000-00-KP,16,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
8-BF0005-000-DE-TL,16,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
7-CM4178-MSD-50-PP,16,24,PYC-08-THUDUC,2.000000,2.000000,2022-05-17,2022-05-18,2022-05-25
9-GL350G-000-00-NA,16,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-NS3C02-000-00-NT,16,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-B03640-0BF-IN-HN,16,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
4-KATE00-PLL-N0-28,16,24,PYC-08-THUDUC,148.500000,148.500000,2022-05-17,2022-05-18,2022-05-25
3-NH2302-WHI-23-CY,16,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-X44317-Y00-5L-BN,16,114,PYC-16-THUDUC,1.000000,1.000000,2022-05-30,2022-05-31,2022-06-04
6-DCS013-000-00-KP,17,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
8-BF0005-000-DE-TL,17,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
7-CM8357-BGE-50-PP,17,24,PYC-08-THUDUC,2.000000,2.000000,2022-05-17,2022-05-18,2022-05-25
9-GL350G-000-00-NA,17,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-NS3C02-000-00-NT,17,24,PYC-08-THUDUC,105.000000,105.000000,2022-05-17,2022-05-18,2022-05-25
9-B03640-0BF-IN-HN,17,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
4-KATEHV-BGE-N0-28,17,24,PYC-08-THUDUC,148.500000,148.500000,2022-05-17,2022-05-18,2022-05-25
3-NH2302-WHI-23-CY,17,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-X44317-Y00-5L-BN,17,114,PYC-16-THUDUC,1.000000,1.000000,2022-05-30,2022-05-31,2022-06-04
1-CVAC40-VGO-00-HV,17,131,PYC-54-CAT,15.300000,15.300000,2022-06-01,2022-06-02,2022-06-06
4-CVAC40-VGO-D5-30,17,231,PYC-24-THUDUC,56.000000,56.000000,2022-06-10,2022-06-11,2022-06-13
1-CVAC14-NAV-00-HV,18,22,PYC-10-CAT,14.800000,14.800000,2022-05-17,2022-05-18,2022-05-18
6-DCS013-000-00-KP,18,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
7-CM7982-NAV-50-PP,18,24,PYC-08-THUDUC,2.000000,2.000000,2022-05-17,2022-05-18,2022-05-25
8-BF0005-000-DE-TL,18,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-GL350G-000-00-NA,18,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-NS3C02-000-00-NT,18,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-B03640-0BF-IN-HN,18,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
4-KATE00-MDB-N0-28,18,24,PYC-08-THUDUC,148.500000,148.500000,2022-05-17,2022-05-18,2022-05-25
3-NH2302-BLK-23-CY,18,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-X44317-Y00-5L-BN,18,114,PYC-16-THUDUC,1.000000,1.000000,2022-05-30,2022-05-31,2022-06-04
1-CVAC57-OLI-00-HV,20,22,PYC-10-CAT,14.800000,14.800000,2022-05-17,2022-05-18,2022-05-18
6-DCS013-000-00-KP,20,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
8-BF0005-000-DE-TL,20,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-GL350G-000-00-NA,20,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
9-NS3C02-000-00-NT,20,24,PYC-08-THUDUC,105.000000,105.000000,2022-05-17,2022-05-18,2022-05-25
9-B03640-0BF-IN-HN,20,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
4-KATE00-CPR-N0-28,20,24,PYC-08-THUDUC,148.500000,148.500000,2022-05-17,2022-05-18,2022-05-25
3-NH2302-BLK-23-CY,20,24,PYC-08-THUDUC,100.000000,100.000000,2022-05-17,2022-05-18,2022-05-25
