position,total_quota,parent_product,order_code,product_code,order_quota
Phối đỉnh,92.800000,10178,NXK-BLACK-01295-VM-SeaGreen-S-PORTR56,5-VSTXTC-TTT-DK-EW,0.160000
"Mặt, hông trên, hông dưới & đỉnh",405.000000,10319,NXK-BLACK-01295-VM-RED-S-PORDFG,3-INPL24-NAI-DU-YP,0.810000
Két trên,350.000000,10312,NXK-BLACK-01295-VM-RED-S-PORDFG,7-INPL17-BBT-W2-YK,0.500000
Chóp,70.000000,10230,PANAMA-NC465-SlateGray-XL-PODFTH3,4-HNPL43-NAI-L8-EV,0.100000
Đỉnh,140.000000,10258,PANAMA-NC465-SlateGray-XL-PODFTH3,6-HNPL61-DOC-W2-NC,0.200000
Đỉnh,350.000000,10213,PANAMA-NC465-SlateGray-XL-PODFTH3,2-HNPL30-LYL-W2-ML,0.500000
Chóp,56.000000,10243,PANAMA-NC465-Cyan-L-POFBT43,3-HNPL57-LYL-W2-EW,0.100000
Đỉnh,112.000000,10230,PANAMA-NC465-Cyan-L-POFBT43,4-HNPL43-NAI-L8-EV,0.200000
Đỉnh,280.000000,10257,PANAMA-NC465-Cyan-L-POFBT43,1-HNPL60-DOC-DU-NC,0.500000
Chóp,36.000000,10191,PANAMA-NC465-Maroon-S-POIO34,6-HNPL10-DSF-DT-NC,0.100000
Đỉnh,72.000000,10230,PANAMA-NC465-Maroon-S-POIO34,4-HNPL43-NAI-L8-EV,0.200000
Đỉnh,180.000000,10213,PANAMA-NC465-Maroon-S-POIO34,2-HNPL30-LYL-W2-ML,0.500000
Chóp,45.000000,10267,PANAMA-NC465-LightSlateGray-XL-PO5896,7-HNPL21-NYL-U6-YK,0.100000
Đỉnh,90.000000,10230,PANAMA-NC465-LightSlateGray-XL-PO5896,4-HNPL43-NAI-L8-EV,0.200000
Đỉnh,225.000000,10201,PANAMA-NC465-LightSlateGray-XL-PO5896,6-HNPL10-DSF-W2-NC,0.500000
Chóp,25.000000,10231,PANAMA-NC465-Ivory-L-PO5896,6-HNPL45-BBT-3X-ML,0.100000
Đỉnh,50.000000,10230,PANAMA-NC465-Ivory-L-PO5896,4-HNPL43-NAI-L8-EV,0.200000
Đỉnh,125.000000,10192,PANAMA-NC465-Ivory-L-PO5896,1-HNPL11-NAI-L8-NC,0.500000
Chóp,35.000000,10230,PANAMA-NC465-DarkKhaki-M-PO5896,4-HNPL43-NAI-L8-EV,0.100000
Đỉnh,70.000000,10273,PANAMA-NC465-DarkKhaki-M-PO5896,6-HNPL27-GHA-NN-KW,0.200000
Đỉnh,175.000000,10271,PANAMA-NC465-DarkKhaki-M-PO5896,7-HNPL25-DWR-DG-BI,0.500000
Chóp,50.000000,10191,PANAMA-NC465-Fuchsia-S-PO5896,6-HNPL10-DSF-DT-NC,0.100000
Đỉnh,100.000000,10213,PANAMA-NC465-Fuchsia-S-PO5896,2-HNPL30-LYL-W2-ML,0.200000
Đỉnh,250.000000,10214,PANAMA-NC465-Fuchsia-S-PO5896,2-HNPL31-LYL-W2-ML,0.500000
Chóp,55.000000,10311,PANAMA-NC465-Yellow-M-PO23HF,5-INPL16-468-3X-FT,0.100000
Đỉnh,110.000000,10310,PANAMA-NC465-Yellow-M-PO23HF,8-INPL15-DOC-DG-GP,0.200000
Đỉnh,275.000000,10312,PANAMA-NC465-Yellow-M-PO23HF,7-INPL17-BBT-W2-YK,0.500000
Chóp,50.000000,10277,PANAMA-NC465-Gray-L-PO23HF,5-HNPL71-DNE-U6-SH,0.100000
Đỉnh,100.000000,10230,PANAMA-NC465-Gray-L-PO23HF,4-HNPL43-NAI-L8-EV,0.200000
Đỉnh,250.000000,10286,PANAMA-NC465-Gray-L-PO23HF,5-HNPL80-FFN-DT-UL,0.500000
Chóp,50.000000,10267,PANAMA-NC465-Blue-M-PODS23,7-HNPL21-NYL-U6-YK,0.100000
Đỉnh,100.000000,10230,PANAMA-NC465-Blue-M-PODS23,4-HNPL43-NAI-L8-EV,0.200000
Đỉnh,250.000000,10181,PANAMA-NC465-Blue-M-PODS23,6-HNPLT2-LYL-DU-YP,0.500000
Chóp,50.000000,10327,PANAMA-NC465-LightGreen-L-POAlbania,6-INPL30-464-W2-NC,0.100000
Đỉnh,100.000000,10328,PANAMA-NC465-LightGreen-L-POAlbania,7-INPL31-466-W2-NC,0.200000
Đỉnh,250.000000,10329,PANAMA-NC465-LightGreen-L-POAlbania,7-INPL32-466-WS-EW,0.500000
"Mặt, hông trên, hông dưới & đỉnh",40.500000,10310,NXK-BLACK-01295-VM-Green-L-POJI23T,8-INPL15-DOC-DG-GP,0.081000
Két trên,250.000000,10311,NXK-BLACK-01295-VM-Green-L-POJI23T,5-INPL16-468-3X-FT,0.500000
Viền két,130.000000,10312,NXK-BLACK-01295-VM-Green-L-POJI23T,7-INPL17-BBT-W2-YK,0.260000
Phối đỉnh,100.000000,10307,TTD-26072021-121-AK,T-TAI002-TTT-TT-HG,1.000000
"Mặt, hông trên, hông dưới & đỉnh",40.500000,10305,NXK-BLACK-01295-VM-ưdwqd-đw-POưqdqwd,T-TAI001-TTT-TT-HG,0.081000
Két trên,250.000000,10307,NXK-BLACK-01295-VM-ưdwqd-đw-POưqdqwd,T-TAI002-TTT-TT-HG,0.500000
Phối đỉnh,80.000000,10306,NXK-BLACK-01295-VM-ưdwqd-đw-POưqdqwd,T-TAI003-TTT-TT-HG,0.160000
Chóp,200.000000,10250,PRO-SAFARI-TTDCap-Green-S-PO34234H,8-HNPL55-NAI-45-FT,1.000000
DFSX,100.000000,10241,PRO-SAFARI-TTDCap-Green-S-PO34234H,7-HNPL55-BBT-DU-NC,
Đỉnh,14.000000,739,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-NP322A-PUM-00-FT,0.028000
Mặt,8.500000,739,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-NP322A-PUM-00-FT,0.017000
Hông dưới & đuôi,15.000000,739,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-NP322A-PUM-00-FT,0.030000
Hông trên,10.000000,739,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-NP322A-PUM-00-FT,0.020000
Phối hông,11.500000,6684,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-PH0688-GRY-00-UL,0.023000
Vành trên,25.000000,739,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-NP322A-PUM-00-FT,0.050000
Vành dưới,25.000000,1169,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-P983UV-GRY-L1-EV,0.050000
Phối đỉnh,5.000000,7958,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-PQUANG-GRY-00-SK,0.010000
Viền vành và gáy che,600.000000,6897,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,4-NY1132-CHA-N0-36,1.200000
Viền trong chóp #1,975.000000,6896,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,4-NY1132-CHA-N0-22,1.950000
Viền trong chóp #2,150.000000,6993,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,4-NY1132-CHA-N0-28,0.300000
Lót trong nón,19.000000,1539,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-PH0757-GRY-00-UL,0.038000
Gáy che,25.000000,739,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,1-NP322A-PUM-00-FT,0.050000
Chỉ may chính,6.000000,3645,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,7-CM9631-GRY-50-PP,0.012000
Chỉ may viền vành,0.500000,3670,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,7-CM9911-CHA-50-PP,0.001000
Chỉ may dây khóa,0.500000,3645,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,7-CM9631-GRY-50-PP,0.001000
Chỉ vắt sổ,1.000000,3670,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,7-CM9911-CHA-50-PP,0.002000
Mút vành,32.500000,6195,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,9-1001NF-WHI-18-CB,0.065000
Dây khóa sau,115.000000,3777,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,5-DA0311-PUM-20-PI,0.230000
Khóa size sau nón,500.000000,2512,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,6-NHFR20-BLK-00-NC,1.000000
Con đĩa xỏ khóa,30.000000,3776,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,5-DA0311-PUM-10-PI,0.060000
Dây quai nón,340.000000,3731,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,5-DA0185-GRI-07-PI,0.680000
Khóa chặn dây quai,500.000000,2495,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,6-NHCL23-DGA-00-NC,1.000000
Nút chặn,500.000000,2526,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,6-NHP878-DGA-00-DF,1.000000
Khóa an toàn dây quai,500.000000,2534,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,6-NHY07A-BLK-LG-NC,1.000000
Đầu kéo khóa,22.500000,3817,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,5-DA1254-3MS-10-PI,0.045000
Nhãn dệt ngoài,500.000000,5399,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,8-SA0020-000-DE-MX,1.000000
Nhãn dệt size,500.000000,5565,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,8-SA0187-000-DE-MX,1.000000
Nhãn thành phần,500.000000,5398,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,8-SA0019-000-IN-MX,1.000000
Nhãn name phone,500.000000,5421,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,8-SA0042-000-IN-MX,1.000000
Nhãn patent,500.000000,5461,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,8-SA0082-000-IN-TL,1.000000
Hangtag chính,500.000000,5933,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,9-HSA094-000-00-MX,1.000000
Hangtag UPF,500.000000,5907,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,9-HSA067-000-00-MX,1.000000
Hangtag SS,500.000000,5863,SA-223-KUADHA-L-Darkbrown-XL-PODF34RG,9-HSA023-000-00-MX,1.000000
Gai dính- gai,250.000000,10298,KY-025-SGBGRN-570-Gray-L-POIJ2D23F,5-INPL10-NAI-W2-YP,0.500000
Gai dính- bông,350.000000,10300,KY-025-SGBGRN-570-Gray-L-POIJ2D23F,5-INPL12-460-U6-YK,0.700000
Mặt,50.000000,10301,KY-025-SGBGRN-570-Gray-L-POIJ2D23F,5-INPL13-DOL-DK-HG,0.100000
Két trên+nút,12.000000,10297,HM-027-FITTED-228-LightDarkBlue-L-POXCD584,7-INPL09-DNE-TH-HT,0.024000
Két dưới,11.500000,10296,HM-027-FITTED-228-LightDarkBlue-L-POXCD584,7-INPL08-BBT-WS-AR,0.023000
Đai,80.000000,10293,HM-027-FITTED-228-LightDarkBlue-L-POXCD584,7-INPL05-LCH-NN-PY,0.160000
Viền,175.000000,10289,HM-027-FITTED-228-LightDarkBlue-L-POXCD584,7-INPL01-GRF-TH-ML,0.350000
Chỉ may,50.000000,10292,HM-027-FITTED-228-LightDarkBlue-L-POXCD584,7-INPL04-DWR-U6-BI,0.100000
chop,125.000000,10297,KISY-PLAZA-AD18-Gray-M-PO34SFV23,7-INPL09-DNE-TH-HT,0.250000
vải,150.000000,10296,KISY-PLAZA-AD18-Gray-M-PO34SFV23,7-INPL08-BBT-WS-AR,0.300000
lai,100.000000,10292,KISY-PLAZA-AD18-Gray-M-PO34SFV23,7-INPL04-DWR-U6-BI,0.200000
vien,50.000000,10290,KISY-PLAZA-AD18-Gray-M-PO34SFV23,7-INPL02-465-W2-NC,0.100000
vien,150.000000,10295,KISY-PLAZA-AD18-Gray-M-PO34SFV23,7-INPL07-NAI-NI-SY,0.300000
khoa,55.000000,10294,KISY-PLAZA-AD18-Gray-M-PO34SFV23,7-INPL06-BEX-O6-BV,0.110000
mat,60.000000,10291,KISY-PLAZA-AD18-Gray-M-PO34SFV23,7-INPL03-DOC-DG-AS,0.120000
Viền,42.500000,10242,PRO-SAFARI-TTDCap-Yellow-M-PO5000,4-HNPL56-LYL-DK-EV,0.085000
Mặt,32.000000,10242,PRO-SAFARI-TTDCap-Yellow-M-PO5000,4-HNPL56-LYL-DK-EV,0.064000
Két dưới,26.500000,10241,PRO-SAFARI-TTDCap-Yellow-M-PO5000,7-HNPL55-BBT-DU-NC,0.053000
Két nhựa,25.000000,10240,PRO-SAFARI-TTDCap-Yellow-M-PO5000,3-HNPL54-467-DU-NC,0.050000
Hông,20.500000,10238,PRO-SAFARI-TTDCap-Yellow-M-PO5000,8-HNPL52-457-U4-NC,0.041000
Cước,18.000000,10235,PRO-SAFARI-TTDCap-Yellow-M-PO5000,4-HNPL49-DWR-U6-YK,0.036000
Chóp,14.000000,10239,PRO-SAFARI-TTDCap-Yellow-M-PO5000,1-HNPL53-464-W2-ML,0.028000
Chóp,14.000000,10239,PRO-SAFARI-TTDCap-Yellow-M-PO5000,1-HNPL53-464-W2-ML,0.028000
Đỉnh,800.000000,10298,WM-011-UPNGHA-OS-LightBlue-M-PO658W4F,5-INPL10-NAI-W2-YP,1.000000
Mặt,3193.500000,10281,RV-004-ROVE5P-590-Green-M-PO3549,4-HNPL74-466-U6-BF,0.027000
Hông,3197.500000,10280,RV-004-ROVE5P-590-Green-M-PO3549,4-HNPL73-NAI-DG-VJ,0.035000
Đuôi,3201.000000,10279,RV-004-ROVE5P-590-Green-M-PO3549,8-HNPL75-467-W2-NC,0.042000
Két trên,3191.000000,10278,RV-004-ROVE5P-590-Green-M-PO3549,8-HNPL72-LCH-V7-WD,0.022000
Két dưới,3190.600000,10277,RV-004-ROVE5P-590-Green-M-PO3549,5-HNPL71-DNE-U6-SH,0.021200
Đai,3480.000000,10276,RV-004-ROVE5P-590-Green-M-PO3549,7-HNPL70-466-U6-GP,0.600000
Viền,3855.000000,10275,RV-004-ROVE5P-590-Green-M-PO3549,8-HNPL29-FBF-NN-UL,1.350000
Két nhựa,3680.000000,10274,RV-004-ROVE5P-590-Green-M-PO3549,5-HNPL28-FSC-CF-HF,1.000000
Nút sắt,3680.000000,10272,RV-004-ROVE5P-590-Green-M-PO3549,6-HNPL26-MBA-U5-BF,1.000000
Keo dựng mặt,3196.500000,10273,RV-004-ROVE5P-590-Green-M-PO3549,6-HNPL27-GHA-NN-KW,0.033000
Dây size,3183.000000,10270,RV-004-ROVE5P-590-Green-M-PO3549,6-HNPL24-465-U6-YK,0.006000
Khóa,3680.000000,10266,RV-004-ROVE5P-590-Green-M-PO3549,5-HNPL20-DWR-W2-NC,1.000000
Nhãn,3680.000000,10275,RV-004-ROVE5P-590-Green-M-PO3549,8-HNPL29-FBF-NN-UL,1.000000
Chỉ may,3185.000000,10271,RV-004-ROVE5P-590-Green-M-PO3549,7-HNPL25-DWR-DG-BI,0.010000
Giấy lót nón,3680.000000,10269,RV-004-ROVE5P-590-Green-M-PO3549,5-HNPL23-466-CF-CB,1.000000
Bao nylon,3200.000000,10269,RV-004-ROVE5P-590-Green-M-PO3549,5-HNPL23-466-CF-CB,0.040000
Thùng lớn,3185.000000,10268,RV-004-ROVE5P-590-Green-M-PO3549,9-HNPL22-NAI-WS-ML,0.010000
Lót mặt in,3193.500000,10273,RV-004-ROVE5P-590-Green-M-PO3549,6-HNPL27-GHA-NN-KW,0.027000
Hạt chống ẩm,3680.000000,10272,RV-004-ROVE5P-590-Green-M-PO3549,6-HNPL26-MBA-U5-BF,1.000000
Mặt,3193.500000,10281,RV-004-ROVE5P-590-Gray-L-PO96542,4-HNPL74-466-U6-BF,0.027000
Hông,3197.500000,10279,RV-004-ROVE5P-590-Gray-L-PO96542,8-HNPL75-467-W2-NC,0.035000
Đuôi,3201.000000,10268,RV-004-ROVE5P-590-Gray-L-PO96542,9-HNPL22-NAI-WS-ML,0.042000
Két trên,3191.000000,10280,RV-004-ROVE5P-590-Gray-L-PO96542,4-HNPL73-NAI-DG-VJ,0.022000
Két dưới,3190.600000,10279,RV-004-ROVE5P-590-Gray-L-PO96542,8-HNPL75-467-W2-NC,0.021200
Đai,3480.000000,10287,RV-004-ROVE5P-590-Gray-L-PO96542,4-HNPL81-464-CF-DF,0.600000
Viền,3855.000000,10286,RV-004-ROVE5P-590-Gray-L-PO96542,5-HNPL80-FFN-DT-UL,1.350000
Két nhựa,3680.000000,10285,RV-004-ROVE5P-590-Gray-L-PO96542,9-HNPL79-DOL-U6-UT,1.000000
Nút sắt,3680.000000,10278,RV-004-ROVE5P-590-Gray-L-PO96542,8-HNPL72-LCH-V7-WD,1.000000
Keo dựng mặt,3196.500000,10266,RV-004-ROVE5P-590-Gray-L-PO96542,5-HNPL20-DWR-W2-NC,0.033000
Dây size,3183.000000,10269,RV-004-ROVE5P-590-Gray-L-PO96542,5-HNPL23-466-CF-CB,0.006000
Khóa,3680.000000,10269,RV-004-ROVE5P-590-Gray-L-PO96542,5-HNPL23-466-CF-CB,1.000000
Nhãn,3680.000000,10280,RV-004-ROVE5P-590-Gray-L-PO96542,4-HNPL73-NAI-DG-VJ,1.000000
Chỉ may,3185.000000,10284,RV-004-ROVE5P-590-Gray-L-PO96542,8-HNPL78-DWR-W2-GP,0.010000
Giấy lót nón,3680.000000,10283,RV-004-ROVE5P-590-Gray-L-PO96542,6-HNPL77-DWR-W2-YK,1.000000
Bao nylon,3200.000000,10282,RV-004-ROVE5P-590-Gray-L-PO96542,7-HNPL76-DNE-DU-NC,0.040000
Thùng lớn,3185.000000,10285,RV-004-ROVE5P-590-Gray-L-PO96542,9-HNPL79-DOL-U6-UT,0.010000
Lót mặt in,3193.500000,10276,RV-004-ROVE5P-590-Gray-L-PO96542,7-HNPL70-466-U6-GP,0.027000
Hạt chống ẩm,3680.000000,10279,RV-004-ROVE5P-590-Gray-L-PO96542,8-HNPL75-467-W2-NC,1.000000
Mặt,3204.300000,10261,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,8-HNPL63-461-U6-NC,0.027000
Hông,3211.500000,10260,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,3-HNPL62-DOC-DU-NC,0.035000
Đuôi,3217.800000,10258,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,6-HNPL61-DOC-W2-NC,0.042000
Két trên,3199.800000,10258,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,6-HNPL61-DOC-W2-NC,0.022000
Két dưới,3199.080000,10257,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,1-HNPL60-DOC-DU-NC,0.021200
Đai,3720.000000,10250,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,8-HNPL55-NAI-45-FT,0.600000
Viền,4395.000000,10250,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,8-HNPL55-NAI-45-FT,1.350000
Két nhựa,4080.000000,10243,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,3-HNPL57-LYL-W2-EW,1.000000
Nút sắt,4080.000000,10248,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,3-HNPL60-LYL-L9-EV,1.000000
Keo dựng mặt,3209.700000,10239,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,1-HNPL53-464-W2-ML,0.033000
Dây size,3185.400000,10245,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,2-HNPL58-NAI-U5-YP,0.006000
Khóa,4080.000000,10245,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,2-HNPL58-NAI-U5-YP,1.000000
Nhãn,4080.000000,10238,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,8-HNPL52-457-U4-NC,1.000000
Chỉ may,3189.000000,10241,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,7-HNPL55-BBT-DU-NC,0.010000
Giấy lót nón,4080.000000,10238,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,8-HNPL52-457-U4-NC,1.000000
Bao nylon,3216.000000,6350,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,9-CCDCVP-010-00-AK,0.040000
Thùng lớn,3189.000000,10240,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,3-HNPL54-467-DU-NC,0.010000
Lót mặt in,3204.300000,10242,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,4-HNPL56-LYL-DK-EV,0.027000
Hạt chống ẩm,4080.000000,6351,RV-004-ROVE5P-590-DarkMagenta-XL-POSDV434,9-CCDCSX-153-00-AK,1.000000
Mặt,3204.300000,10261,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,8-HNPL63-461-U6-NC,0.027000
Hông,3211.500000,10260,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,3-HNPL62-DOC-DU-NC,0.035000
Đuôi,3217.800000,10258,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,6-HNPL61-DOC-W2-NC,0.042000
Két trên,3199.800000,10257,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,1-HNPL60-DOC-DU-NC,0.022000
Két dưới,3199.080000,10236,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,8-HNPL50-GRF-L8-ML,0.021200
Đai,3720.000000,10234,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,7-HNPL48-BBT-NN-NC,0.600000
Viền,4395.000000,10253,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,5-HNPL58-GRF-TH-EW,1.350000
Két nhựa,4080.000000,10252,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,6-HNPL57-460-U6-NC,1.000000
Nút sắt,4080.000000,10251,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,2-HNPL56-DOC-U6-FT,1.000000
Keo dựng mặt,3209.700000,10250,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,8-HNPL55-NAI-45-FT,0.033000
Dây size,3185.400000,10239,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,1-HNPL53-464-W2-ML,0.006000
Khóa,4080.000000,10238,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,8-HNPL52-457-U4-NC,1.000000
Nhãn,4080.000000,6351,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,9-CCDCSX-153-00-AK,1.000000
Chỉ may,3189.000000,6350,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,9-CCDCVP-010-00-AK,0.010000
Giấy lót nón,4080.000000,10194,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,7-HNPL13-DWR-TH-ML,1.000000
Bao nylon,3216.000000,10201,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,6-HNPL10-DSF-W2-NC,0.040000
Thùng lớn,3189.000000,10195,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,8-HNPL14-465-U4-NC,0.010000
Lót mặt in,3204.300000,10192,RV-004-ROVE5P-590-DarkSlateGray-L-PO45Y4,1-HNPL11-NAI-L8-NC,0.027000
