Mã đơn hàng,Mã NPL,Mã LSX,SL LSX,Tổng đã xuất
TTD-220721-PARAPACK LITE BLACK,1-LUOIMA-WHI-80-CM,PYC-412-CAT,7.98,7.98
TTD-220721-PARAPACK LITE CHARCOAL,1-LUOIMA-WHI-80-CM,PYC-412-CAT,7.86,7.86
TTD-220721-PARAPACK POOL GREEN,1-LUOIMA-WHI-80-CM,PYC-412-CAT,4.49,4.49
Ultra Adventure Storm Hat-Shadow-LXL-38003,1-LUOIMA-WHI-80-CM,PYC-843-CAT,53.53,107.06
Ultra Adventure Storm Hat-Shadow-SM-38003,1-LUOIMA-WHI-80-CM,PYC-843-CAT,29.03,11.84
Ultra Adventure Storm Hat-Shadow-SM-38003,1-LUOIMA-WHI-80-CM,PYC-843-CAT,29.03,46.22
Ultra Adventure Storm Hat-Taupe-LXL-38003,1-LUOIMA-WHI-80-CM,PYC-855-CAT,66.0,66.0
Ultra Adventure Storm Hat-Taupe-SM-38003,1-LUOIMA-WHI-80-CM,PYC-843-CAT,100.0,32.74
Ultra Adventure Storm Hat-Taupe-SM-38003,1-LUOIMA-WHI-80-CM,PYC-843-CAT,100.0,67.26
Ultra Adventure Storm Hat-Taupe-SM-38003,1-LUOIMA-WHI-80-CM,PYC-855-CAT,117.0,117.0
VaporLite Tempo Bucket-Black-M-PO 38080,1-LUOIMA-WHI-80-CM,PYC-412-CAT,145.0,145.0
Wide Brim No Fly Zone Hat-Tan-SM-PO66,1-LUOIMA-WHI-80-CM,PYC-608-CAT,366.0,439.2
Kids Artist Series Trucker- ML-Butterfly and Bees,1-CO7033-AMT-00-EW,PYC-360-CAT,188.2,188.2
Kids Artist Series Trucker- ML-Whale Song,1-CO7033-AMT-00-EW,PYC-360-CAT,64.79,64.79
Kids Cooling Trucker- ML-Horse Feather,1-CO7033-AMT-00-EW,PYC-249-CAT,1.3,1.3
Kids Cooling Trucker- ML-Horse Feather,1-CO7033-AMT-00-EW,PYC-360-CAT,37.2,37.2
Shadewell Kids Trucker - M-L - Celestial Unicorn,1-CO7033-AMT-00-EW,PYC-114-CAT,11.1,22.2
Shadewell Kids Trucker - M-L - Celestial Unicorn,1-CO7033-AMT-00-EW,PYC-143-CAT,5.0,10.0
Shadewell Kids Trucker- M-L-Friendly Flutter,1-CO7033-AMT-00-EW,PYC-114-CAT,11.1,22.2
Shadewell Kids Trucker- M-L-Friendly Flutter,1-CO7033-AMT-00-EW,PYC-143-CAT,5.0,10.0
Artist Series Cooling Trucker-OS-Dream Seeker,1-CO7033-BLK-00-EW,PYC-130-THIENDUC,37.51,37.51
Artist Series Trucker -O-S- Campfire,1-CO7033-BLK-00-EW,PYC-187-CAT,50.25,50.25
Artist Series Trucker -O-S-Mountain High,1-CO7033-BLK-00-EW,PYC-195-CAT,23.35,0.8
Artist Series Trucker -O-S-Mountain High,1-CO7033-BLK-00-EW,PYC-195-CAT,23.35,45.9
Artist Series Trucker-OS-Mountain High,1-CO7033-BLK-00-EW,PYC-130-THIENDUC,56.12,112.24
Shadewell Kids Trucker- M-L-Sunset Squatch,1-CO7033-BLK-00-EW,PYC-114-CAT,11.1,22.2
Shadewell Kids Trucker- M-L-Sunset Squatch,1-CO7033-BLK-00-EW,PYC-143-CAT,5.0,10.0
Shadewell Kids Trucker- M-L-Tyranno,1-CO7033-BLK-00-EW,PYC-114-CAT,11.1,22.2
Shadewell Kids Trucker- M-L-Tyranno,1-CO7033-BLK-00-EW,PYC-143-CAT,5.0,10.0
Kids Artist Series Trucker- M-L-Osprey,1-CO7033-EBN-00-EW,PYC-97-CAT,23.1715,23.1715
Kids Artist Series Trucker- ML-Osprey,1-CO7033-EBN-00-EW,PYC-249-CAT,76.12,76.12
Kids Artist Series Trucker- ML-Osprey,1-CO7033-EBN-00-EW,PYC-360-CAT,16.08,16.08
Kids Artist Series Trucker- ML-River Otter,1-CO7033-EBN-00-EW,PYC-249-CAT,44.2,44.2
Shadewell Kids Trucker - Bust In The Mist,1-CO7033-EBN-00-EW,PYC-114-CAT,11.1,22.2
Shadewell Kids Trucker - Bust In The Mist,1-CO7033-EBN-00-EW,PYC-143-CAT,5.0,10.0
Toddler Artist Series Trucker-Sma-Osprey,1-CO7033-EBN-00-EW,PYC-361-CAT,46.85,93.7
Kids Artist Series Trucker- ML-Pond Party,1-CO7033-HBL-00-EW,PYC-249-CAT,44.2,44.2
Kids Artist Series Trucker- ML-Rainbow Trout,1-CO7033-HBL-00-EW,PYC-249-CAT,68.2,68.2
Kids' Artist Series Trucker-ML-Pond Party-PO125,1-CO7033-HBL-00-EW,PYC-276-THIENDUC,40.2,40.2
Kids Artist Series Trucker- ML-Hummingbird,1-CO7033-LMG-00-EW,PYC-249-CAT,61.8,0.1
Kids Artist Series Trucker- ML-Hummingbird,1-CO7033-LMG-00-EW,PYC-249-CAT,61.8,61.7
Kids Artist Series Trucker- ML-Hummingbird,1-CO7033-LMG-00-EW,PYC-360-CAT,258.4,258.4
Toddler Trucker-Small-Hummingbird,1-CO7033-LMG-00-EW,PYC-361-CAT,76.53,153.06
Artist Series Trucker -O-S-Wishes To The Wind,1-CO7033-PAF-00-EW,PYC-97-CAT,15.25,15.25
Artist Series Trucker -O-S-Woodland,1-CO7033-PAF-00-EW,PYC-97-CAT,40.25,40.25
Artist Series Trucker-OS-Woodland,1-CO7033-PAF-00-EW,PYC-210-CAT,80.25,80.25
Kids Artist Series Trucker- ML-Forest Friend,1-CO7033-PAF-00-EW,PYC-249-CAT,92.2,0.1
Kids Artist Series Trucker- ML-Forest Friend,1-CO7033-PAF-00-EW,PYC-249-CAT,92.2,92.1
Kids Artist Series Trucker- ML-Lone Wolf,1-CO7033-PAF-00-EW,PYC-249-CAT,155.55,0.1
Kids Artist Series Trucker- ML-Lone Wolf,1-CO7033-PAF-00-EW,PYC-249-CAT,155.55,0.4
Kids Artist Series Trucker- ML-Lone Wolf,1-CO7033-PAF-00-EW,PYC-249-CAT,155.55,155.05
Kids Artist Series Trucker- ML-Lone Wolf,1-CO7033-PAF-00-EW,PYC-360-CAT,72.65,72.65
Toddler Trucker-Small-Forest Friends,1-CO7033-PAF-00-EW,PYC-361-CAT,29.89,59.78
Artist Series Trucker -O-S- Midnight Mountain,1-CO7033-PEC-00-EW,PYC-97-CAT,30.25,30.25
Artist Series Trucker -O-S-Under One Sky,1-CO7033-PEC-00-EW,PYC-97-CAT,30.25,30.25
Artist Series Trucker- OS-Into the Blue,1-CO7033-PEC-00-EW,PYC-130-THIENDUC,30.25,30.25
Artist Series Trucker-OS-Alpine Reflection,1-CO7033-PEC-00-EW,PYC-210-CAT,12.788499,25.576998
Artist Series Trucker-OS-Alpine Reflection,1-CO7033-PEC-00-EW,PYC-130-THIENDUC,56.23,112.46
Artist Series Trucker-OS-Into The Blue,1-CO7033-PEC-00-EW,PYC-97-CAT,40.25,40.25
Artist Series Trucker-OS-Mountain,1-CO7033-PEC-00-EW,PYC-210-CAT,75.02,150.04
Artist Series Trucker-OS-Yosemite Valley,1-CO7033-PEC-00-EW,PYC-130-THIENDUC,34.62,69.24
Captain Cap-Navy-OS-PO 78,1-CO7033-PEC-00-EW,PYC-476-CAT,184.22,552.66
Kids Artist Series Trucker- ML-Night Owl,1-CO7033-PEC-00-EW,PYC-97-CAT,19.3415,19.3415
Kids Cooling Trucker- ML-Soaring Sun,1-CO7033-PEC-00-EW,PYC-360-CAT,4.0,4.0
Shadewell Kids Trucker- M-L-Morning Light,1-CO7033-PEC-00-EW,PYC-114-CAT,11.1,22.2
Shadewell Kids Trucker- M-L-Morning Light,1-CO7033-PEC-00-EW,PYC-143-CAT,5.0,10.0
Shadewell Kids Trucker- M-L-Night Fireworks,1-CO7033-PEC-00-EW,PYC-114-CAT,14.1,28.2
Kids Artist Series Trucker- ML-Sea Turtle,1-CO7033-RBL-00-EW,PYC-249-CAT,92.2,92.2
Shadewell Kids Trucker - M-L-Majestic Fox,1-CO7033-VGR-00-EW,PYC-143-CAT,16.1,32.2
TTD-220518-GF3422-Style 8 (2018),1-COTO01-FSH-L1-GF,PYC-188-CAT,13.7,27.4
TTD-220618-GF3722-Style 16 (2019),1-COTO01-FSH-L1-GF,PYC-223-CAT,13.7,30.0
TTD-220629-GF3822-Style 8 (2018),1-COTO01-FSH-L1-GF,PYC-265-CAT,15.2,30.4
TTD-220706-GF3922-Style 11 (2020),1-COTO01-FSH-L1-GF,PYC-273-CAT,17.0,34.0
TTD-220923-GF4322-Style 8 (2018),1-COTO01-FSH-L1-GF,PYC-575-CAT,15.7,31.4
BF-220803-FCS WALTER CAP X_v1,1-COVAC0-BGD-00-HV,PYC-541-CAT,5.4,10.8
BF-220803-FCS WALTER LETTERS_v1,1-COVAC0-BGD-00-HV,PYC-541-CAT,8.8,26.400000000000002
BF-220811-FCS KE MOM,1-COVAC0-BGD-00-HV,PYC-706-CAT,11.76,39.0
BF-220811-FCS KE SNAPBACK,1-COVAC0-BGD-00-HV,PYC-706-CAT,11.76,36.0
CẤP PHÁT NPL PHÒNG MẪU,1-COVAC0-BGD-00-HV,PM-02062022-002,3.0,3.0
HM-220616-GIAN GAUSLIN BLUE RED,1-COVAC0-BGD-00-HV,PYC-178-CAT,9.2,18.4
HM-220616-GIAN GAUSLIN BLUE RED BABY,1-COVAC0-BGD-00-HV,PYC-206-CAT,2.0,4.0
HM-220706-WEBER WOVEN PATCH,1-COVAC0-BGD-00-HV,PYC-258-CAT,8.9,30.0
ROV-220705-YS-BACKPACK,1-COVAC0-BGD-00-HV,PYC-242-CAT,14.3,14.3
ROV-220721-DV-FLAG PATCH MAROON,1-COVAC0-BGD-00-HV,PYC-316-CAT,7.4,8.0
ROV-220721-DV-TRIANGLE PATCH WALNUT,1-COVAC0-BGD-00-HV,PYC-320-CAT,6.03,6.03
HM-220616-GIAN GAUSLIN BLUE RED,1-COVAC0-BGD-L2-HV,PYC-178-CAT,8.6,8.6
HM-220616-GIAN GAUSLIN BLUE RED BABY,1-COVAC0-BGD-L2-HV,PYC-206-CAT,2.3,2.5
TTD-220413-BIS AN PHU Cap 54cm,1-COTO01-MAR-00-BV,PYC-41-CAT,28.7,172.2
TTD-220413-BIS AN PHU Cap 56cm,1-COTO01-MAR-00-BV,PYC-41-CAT,87.0,522.0
TTD-220413-BIS AN PHU Cap 57cm,1-COTO01-MAR-00-BV,PYC-41-CAT,35.2,211.20000000000002
TTD-220413-BIS AN PHU Cap 58cm,1-COTO01-MAR-00-BV,PYC-41-CAT,26.1,156.60000000000002
TTD-220413-BIS AN PHU Cap 59cm,1-COTO01-MAR-00-BV,PYC-41-CAT,26.1,156.60000000000002
TTD-220413-BIS AN PHU Hat 54cm,1-COTO01-MAR-00-BV,PYC-39-CAT,12.3,49.2
TTD-220413-BIS AN PHU Hat 54cm,1-COTO01-MAR-00-BV,PYC-131-CAT,12.5,50.0
TTD-220413-BIS AN PHU Hat 56cm,1-COTO01-MAR-00-BV,PYC-39-CAT,12.3,49.2
TTD-220413-BIS AN PHU Hat 56cm,1-COTO01-MAR-00-BV,PYC-131-CAT,12.5,50.0
TTD-220413-BIS VINCOM 54cm,1-COTO01-MAR-00-BV,PYC-41-CAT,21.5,129.0
TTD-220413-BIS VINCOM 56cm,1-COTO01-MAR-00-BV,PYC-41-CAT,54.7,328.20000000000005
TTD-220413-BIS VINCOM 57cm,1-COTO01-MAR-00-BV,PYC-41-CAT,47.8,286.79999999999995
TTD-220413-BIS VINCOM Hat 54cm,1-COTO01-MAR-00-BV,PYC-39-CAT,3.1,12.4
TTD-220413-BIS VINCOM Hat 54cm,1-COTO01-MAR-00-BV,PYC-131-CAT,3.3,13.2
TTD-220413-BIS VINCOM Hat 56cm,1-COTO01-MAR-00-BV,PYC-39-CAT,3.1,12.4
TTD-220413-BIS VINCOM Hat 56cm,1-COTO01-MAR-00-BV,PYC-131-CAT,3.3,13.2
TTD-220611-BIS AP Cap - 57cm,1-COTO01-MAR-00-BV,PYC-146-CAT,4.2,25.200000000000003
TTD-220611-BIS AP Cap - 58cm,1-COTO01-MAR-00-BV,PYC-146-CAT,9.1,54.599999999999994
TTD-220611-BIS AP Hat - 56cm,1-COTO01-MAR-00-BV,PYC-146-CAT,50.4,151.2
TTD-220817-BIS VINCOM HAT-54cm,1-COTO01-MAR-00-BV,PYC-441-CAT,2.34,4.68
TTD-220817-BIS VINCOM HAT-56cm,1-COTO01-MAR-00-BV,PYC-441-CAT,2.34,4.68
TTD-221101-BIS 56cm,1-COTO01-MAR-00-BV,PYC-738-CAT,7.11,42.660000000000004
TTD-221101-BIS 57cm,1-COTO01-MAR-00-BV,PYC-738-CAT,7.0,42.0
TTD-220810-EIS GREY ORANGE,1-COTO02-ONG-00-BV,PYC-430-CAT,3.11,12.44
TTD-220810-EIS WHITE ORANGE - 52cm,1-COTO02-ONG-00-BV,PYC-430-CAT,1.7,6.8
TTD-220810-EIS WHITE ORANGE - 54cm,1-COTO02-ONG-00-BV,PYC-430-CAT,1.7,6.8
TTD-220810-EIS WHITE ORANGE - 56cm,1-COTO02-ONG-00-BV,PYC-430-CAT,1.7,6.8
TTD-220810-EIS WHITE ORANGE - 57cm,1-COTO02-ONG-00-BV,PYC-430-CAT,1.7,6.8
TTD-221115-EIS WHITE ORANGE - 54cm,1-COTO02-ONG-00-BV,PYC-831-CAT,6.07,24.28
TTD-220810-EIS ORANGE HAT,1-CO0000-ONG-CN-BV,PYC-473-CAT,4.68,9.36
BF-220402- CADENCY MEXICAN SKULL PURPLE,1-COVAC0-ONG-00-CA,PYC-56-CAT,3.0,3.0
BF-220402-CADENCY MEXICAN SKULL BLACK,1-COVAC0-ONG-00-CA,PYC-56-CAT,3.0,3.0
ROV-220518-SB-MOUNTAIN VIEW GOLFER ORANGE,1-COVAC0-ONG-00-CA,PYC-503-CAT,46.23,150.0
ROV-220518-SB-MOUNTAIN VIEW GOLFER ORANGE,1-COVAC0-ONG-L2-CA,PYC-503-CAT,14.35,16.0
AD-220601-EX NIHILO STONE,1-COVAC0-STO-00-CA,PYC-141-CAT,10.2,30.599999999999998
TTD-220413-BIS AN PHU Cap 54cm,1-CO0000-TAN-00-BV,PYC-41-CAT,2.9,5.8
TTD-220413-BIS AN PHU Cap 56cm,1-CO0000-TAN-00-BV,PYC-41-CAT,8.7,17.4
TTD-220413-BIS AN PHU Cap 57cm,1-CO0000-TAN-00-BV,PYC-41-CAT,3.5,7.0
TTD-220413-BIS AN PHU Cap 58cm,1-CO0000-TAN-00-BV,PYC-41-CAT,2.9,5.8
TTD-220413-BIS AN PHU Cap 59cm,1-CO0000-TAN-00-BV,PYC-41-CAT,2.9,5.8
TTD-220413-BIS AN PHU Fundino,1-CO0000-TAN-00-BV,PYC-41-CAT,7.7,7.7
TTD-220413-BIS VINCOM 54cm,1-CO0000-TAN-00-BV,PYC-41-CAT,2.1,4.2
TTD-220413-BIS VINCOM 56cm,1-CO0000-TAN-00-BV,PYC-41-CAT,5.4,10.8
TTD-220413-BIS VINCOM 57cm,1-CO0000-TAN-00-BV,PYC-41-CAT,4.8,9.6
TTD-220413-BIS VINCOM Cap Fundino 52cm,1-CO0000-TAN-00-BV,PYC-41-CAT,0.7,1.4
TTD-220413-BIS VINCOM Cap Fundino 54cm,1-CO0000-TAN-00-BV,PYC-41-CAT,0.7,1.4
TTD-220611-BIS AP Cap - 57cm,1-CO0000-TAN-00-BV,PYC-146-CAT,0.4,0.8
TTD-220611-BIS AP Cap - 58cm,1-CO0000-TAN-00-BV,PYC-146-CAT,1.0,2.0
TTD-221101-BIS 56cm,1-CO0000-TAN-00-BV,PYC-738-CAT,0.25,0.25
TTD-221101-BIS 57cm,1-CO0000-TAN-00-BV,PYC-738-CAT,0.25,0.25
CẤP PHÁT NPL PHÒNG MẪU,1-CVAC02-BRO-00-IW,PM-31052022-59,3.0,3.0
HM-220427-BGBC,1-CVAC02-BRO-00-IW,PYC-29-CAT,7.2,36.0
HM-220908-WYSSEN,1-CVAC02-BRO-00-IW,PYC-521-CAT,54.34,228.0
JP-220822-JAPAN CUP 2022 BROWN,1-CVAC02-BRO-00-IW,PYC-479-CAT,55.55,342.0
BEX-220218-PO508-COLAIR RED,1-CVAC03-MAR-00-HS,PYC-47-CAT,73.8,23.4
BEX-220218-PO508-COLAIR RED,1-CVAC03-MAR-00-HS,PYC-47-CAT,73.8,198.0
CẤP PHÁT NPL PHÒNG MẪU,1-CVAC03-MAR-00-HS,PM-30052022-57,1.5,0.0
CẤP PHÁT NPL PHÒNG MẪU,1-CVAC03-MAR-00-HS,PM-31052022-59,1.0,2.0
ROV-220312-HAWK TRUCKER_v1,1-CVAC03-MAR-00-HS,PYC-08-CAT,13.5,27.0
XA-293-AIR GLACIER,1-CVAC04-SCA-00-IW,PYC-22-CAT,26.1,52.2
AD-220318-KING FNU,1-CVAC04-SCA-00-HV,PYC-62-CAT,2.3,2.3
AD-220528-PRO RACE,1-CVAC04-SCA-00-HV,PYC-102-CAT,2.3,2.3
AD-220806-BARBE ROUSSE RED,1-CVAC04-SCA-00-HV,PYC-385-CAT,12.28,70.0
BF-220330-FCS RED BLUE,1-CVAC04-SCA-00-HV,PYC-07-CAT,19.548,55.64399999999999
BF-220708-MOM FLEXFIT BLACK RED 13,1-CVAC04-SCA-00-HV,PYC-244-CAT,10.0,10.0
CẤP PHÁT NPL PHÒNG MẪU,1-CVAC04-SCA-00-HV,PM-25052022-052,1.0,1.0
DYC-AU-220607-Lona,1-CVAC04-SCA-00-HV,PYC-164-CAT,4.5,10.8
DYC-AU-220825-Live Life Get Active,1-CVAC04-SCA-00-HV,PYC-453-CAT,12.01,36.03
DYC-AU-220825-Live Life Get Active,1-CVAC04-SCA-00-HV,PYC-540-CAT,12.0,36.0
DYC-AU-220831-Tait Motors,1-CVAC04-SCA-00-HV,PYC-523-CAT,44.04,88.08
DYC-CH1-220806-La Marlénaz SARL,1-CVAC04-SCA-00-HV,PYC-490-CAT,2.27,2.27
DYC-CH1-220806-La Marlénaz SARL-D1,1-CVAC04-SCA-00-HV,PYC-521-CAT,3.37,3.37
DYC-US-220624-Ready Lift-592,1-CVAC04-SCA-00-HV,PYC-183-CAT,5.6,5.6
DYC-US-220628-SBE-593,1-CVAC04-SCA-00-HV,PYC-300-CAT,2.41,2.41
DYC-US-220816-Luence-614-Opt01-v1,1-CVAC04-SCA-00-HV,PYC-830-CAT,2.31,2.31
DYC-US-220818-E11even-619-Opt03,1-CVAC04-SCA-00-HV,PYC-441-CAT,4.71,4.71
DYC-US-220909-Championship Swagger-629-Opt02,1-CVAC04-SCA-00-HV,PYC-526-CAT,2.31,2.31
DYC-US-220919-Soflo Jeeps-637-Opt01,1-CVAC04-SCA-00-HV,PYC-659-CAT,2.31,2.31
DYC-US-221004-E11even-647-Opt03,1-CVAC04-SCA-00-HV,PYC-642-CAT,2.49,2.49
DYC-US-221004-E11even-647-Opt06,1-CVAC04-SCA-00-HV,PYC-622-CAT,7.87,23.61
HM-220505-HANSA FLEX,1-CVAC04-SCA-00-HV,PYC-16-CAT,4.7,14.100000000000001
HM-220506-ELF CENTURION BASEBALL,1-CVAC04-SCA-00-HV,PYC-162-CAT,6.7,6.7
HM-220506-ELF CENTURION BUCKET,1-CVAC04-SCA-00-HV,PYC-99-CAT,8.0,7.6
HM-220506-ELF CENTURION SNAPBACK,1-CVAC04-SCA-00-HV,PYC-162-CAT,4.5,4.5
HM-220506-ELF CENTURION TRUCKER,1-CVAC04-SCA-00-HV,PYC-162-CAT,2.3,2.3
HM-220506-ELF PATCH BASEBALL,1-CVAC04-SCA-00-HV,PYC-30-CAT,15.6,15.6
HM-220506-ELF SEA DEVILS BASEBALL,1-CVAC04-SCA-00-HV,PYC-162-CAT,50.2,50.2
HM-220506-ELF SEA DEVILS BUCKET,1-CVAC04-SCA-00-HV,PYC-162-CAT,37.9,37.9
HM-220506-ELF SEA DEVILS SNAPBACK,1-CVAC04-SCA-00-HV,PYC-162-CAT,37.5,37.5
HM-220506-ELF SEA DEVILS TRUCKER,1-CVAC04-SCA-00-HV,PYC-162-CAT,20.8,20.8
HM-220506-ELF THUNDER BASEBALL,1-CVAC04-SCA-00-HV,PYC-98-CAT,41.8,167.2
HM-220506-ELF THUNDER BUCKET,1-CVAC04-SCA-00-HV,PYC-162-CAT,19.5,58.5
HM-220506-ELF THUNDER SNAPBACK,1-CVAC04-SCA-00-HV,PYC-98-CAT,45.6,4e-06
HM-220506-ELF THUNDER SNAPBACK,1-CVAC04-SCA-00-HV,PYC-98-CAT,45.6,16.711996
HM-220506-ELF THUNDER SNAPBACK,1-CVAC04-SCA-00-HV,PYC-98-CAT,45.6,21.6
HM-220506-ELF THUNDER SNAPBACK,1-CVAC04-SCA-00-HV,PYC-98-CAT,45.6,27.88
HM-220506-ELF THUNDER SNAPBACK,1-CVAC04-SCA-00-HV,PYC-98-CAT,45.6,116.208
HM-220506-ELF THUNDER TRUCKER,1-CVAC04-SCA-00-HV,PYC-162-CAT,5.5,11.0
HM-220602-CENTURION,1-CVAC04-SCA-00-HV,PYC-198-CAT,2.3,2.3
HM-220602-FC SCHUCHTTAL 55CM,1-CVAC04-SCA-00-HV,PYC-183-CAT,0.7,1.4
HM-220602-FC SCHUCHTTAL 58cm,1-CVAC04-SCA-00-HV,PYC-183-CAT,2.0,4.0
HM-220627-DSIRE,1-CVAC04-SCA-00-HV,PYC-206-CAT,1.1,1.1
HM-220630-BS ROYAL WHITE SCARLET,1-CVAC04-SCA-00-HV,PYC-218-CAT,1.2,1.2
HM-220711-CENTURION,1-CVAC04-SCA-00-HV,PYC-237-CAT,2.3,2.76
HM-220818-SC HOFSTETTEN,1-CVAC04-SCA-00-HV,PYC-398-CAT,2.7,5.4
