order_id,material_order,child_product,total_quota,quota_outsourcing,level,size_level_next
2512,11463,1235,140.25,0.0241,3,0
2512,10723,1238,198.0,0.0275,2,2
2512,10723,4,198.0,0.0275,3,0
2512,10723,1238,198.0,0.0275,2,2
2512,10723,1235,198.0,0.0275,3,0
2512,10723,1238,24.75,0.0275,2,2
2512,10723,4,24.75,0.0275,3,0
2512,10723,1238,24.75,0.0275,2,2
2512,10723,1235,24.75,0.0275,3,0
2512,1238,4,4.79,1.0,2,0
2512,1238,1235,4.79,1.0,2,0
2512,1238,4,5.28,1.0,2,0
2512,1238,1235,5.28,1.0,2,0
2512,1238,4,4.87,1.0,2,0
2512,1238,1235,4.87,1.0,2,0
2512,1238,4,18.15,1.0,2,0
2512,1238,1235,18.15,1.0,2,0
2512,11464,4,18.15,1.0,2,0
2512,11464,1235,18.15,1.0,2,0
2512,11464,8311,18.15,1.0,2,0
2511,3983,7824,192.6,0.008,2,0
2511,8380,8313,192.6,1.0,2,1
2511,8380,7923,192.6,0.026,3,0
2511,8380,8379,192.6,1.0,2,1
2511,8380,2259,192.6,0.0638,3,0
2511,8508,793,449.4,0.0241,2,0
2511,11463,1238,272.85,0.0241,2,2
2511,11463,4,272.85,0.0241,3,0
2511,11463,1238,272.85,0.0241,2,2
2511,11463,1235,272.85,0.0241,3,0
2511,10723,1238,385.2,0.0275,2,2
2511,10723,4,385.2,0.0275,3,0
2511,10723,1238,385.2,0.0275,2,2
2511,10723,1235,385.2,0.0275,3,0
2511,10723,1238,48.15,0.0275,2,2
2511,10723,4,48.15,0.0275,3,0
2511,10723,1238,48.15,0.0275,2,2
2511,10723,1235,48.15,0.0275,3,0
2511,1238,4,8.99,1.0,2,0
2511,1238,1235,8.99,1.0,2,0
2511,1238,4,10.02,1.0,2,0
2511,1238,1235,10.02,1.0,2,0
2511,1238,4,8.99,1.0,2,0
2511,1238,1235,8.99,1.0,2,0
2511,1238,4,32.1,1.0,2,0
2511,1238,1235,32.1,1.0,2,0
2511,11464,4,32.1,1.0,2,0
2511,11464,1235,32.1,1.0,2,0
2511,11464,8311,32.1,1.0,2,0
2510,3989,8278,1.16,0.008,2,0
2510,8382,8314,99.0,1.0,2,1
2510,8382,6643,99.0,0.026,3,0
2510,8382,8381,99.0,1.0,2,1
2510,8382,2260,99.0,0.0634,3,0
2510,6885,904,5.45,0.0241,2,0
2510,11414,11378,140.25,0.0241,2,2
2510,11414,5,140.25,0.0241,3,0
2510,11414,11378,140.25,0.0241,2,2
2510,11414,11355,140.25,0.0241,3,0
2510,11413,11378,198.0,0.0276,2,2
2510,11413,5,198.0,0.0276,3,0
2510,11413,11378,198.0,0.0276,2,2
2510,11413,11355,198.0,0.0276,3,0
2510,11413,11378,24.75,0.0276,2,2
2510,11413,5,24.75,0.0276,3,0
2510,11413,11378,24.75,0.0276,2,2
2510,11413,11355,24.75,0.0276,3,0
2510,11378,5,4.79,1.0,2,0
2510,11378,11355,4.79,1.0,2,0
2510,11378,5,5.28,1.0,2,0
2510,11378,11355,5.28,1.0,2,0
2510,11378,5,4.87,1.0,2,0
2510,11378,11355,4.87,1.0,2,0
2510,11378,5,18.15,1.0,2,0
2510,11378,11355,18.15,1.0,2,0
2510,11412,5,18.15,1.0,2,0
2510,11412,8311,18.15,1.0,2,0
2510,11412,11355,18.15,1.0,2,0
2509,3989,8278,192.6,0.008,2,0
2509,8382,8314,192.6,1.0,2,1
2509,8382,6643,192.6,0.026,3,0
2509,8382,8381,192.6,1.0,2,1
2509,8382,2260,192.6,0.0634,3,0
2509,6885,904,449.4,0.0241,2,0
2509,11414,11378,272.85,0.0241,2,2
2509,11414,5,272.85,0.0241,3,0
2509,11414,11378,272.85,0.0241,2,2
2509,11414,11355,272.85,0.0241,3,0
2509,11413,11378,385.2,0.0276,2,2
2509,11413,5,385.2,0.0276,3,0
2509,11413,11378,385.2,0.0276,2,2
2509,11413,11355,385.2,0.0276,3,0
2509,11413,11378,48.15,0.0276,2,2
2509,11413,5,48.15,0.0276,3,0
2509,11413,11378,48.15,0.0276,2,2
2509,11413,11355,48.15,0.0276,3,0
2509,11378,5,8.99,1.0,2,0
2509,11378,11355,8.99,1.0,2,0
2509,11378,5,10.02,1.0,2,0
2509,11378,11355,10.02,1.0,2,0
2509,11378,5,8.99,1.0,2,0
2509,11378,11355,8.99,1.0,2,0
2509,11378,5,32.1,1.0,2,0
2509,11378,11355,32.1,1.0,2,0
2509,11412,5,32.1,1.0,2,0
2509,11412,8311,32.1,1.0,2,0
2509,11412,11355,32.1,1.0,2,0
2508,3989,8278,699.6,0.008,2,0
2508,6885,904,1431.0,0.0241,2,0
2508,8382,8314,655.08,1.0,2,1
2508,8382,6643,655.08,0.026,3,0
2508,8382,8381,655.08,1.0,2,1
2508,8382,2260,655.08,0.0634,3,0
2508,11378,5,24.02,1.0,2,0
2508,11378,11355,24.02,1.0,2,0
2508,11378,5,22.71,1.0,2,0
2508,11378,11355,22.71,1.0,2,0
2508,11378,5,14.74,1.0,2,0
2508,11378,11355,14.74,1.0,2,0
2508,11378,5,26.75,1.0,2,0
2508,11378,11355,26.75,1.0,2,0
2508,11378,5,26.09,1.0,2,0
2508,11378,11355,26.09,1.0,2,0
2508,11378,5,25.55,1.0,2,0
2508,11378,11355,25.55,1.0,2,0
2507,3989,8278,648.9,0.008,2,0
2507,6885,904,1460.03,0.0241,2,0
2507,8382,8314,648.9,1.0,2,1
2507,8382,6643,648.9,0.026,3,0
2507,8382,8381,648.9,1.0,2,1
2507,8382,2260,648.9,0.0634,3,0
2507,11378,5,23.79,1.0,2,0
2507,11378,11355,23.79,1.0,2,0
2507,11378,5,22.5,1.0,2,0
2507,11378,11355,22.5,1.0,2,0
2507,11378,5,8.65,1.0,2,0
2507,11378,11355,8.65,1.0,2,0
2507,11378,5,26.5,1.0,2,0
2507,11378,11355,26.5,1.0,2,0
2507,11378,5,25.85,1.0,2,0
2507,11378,11355,25.85,1.0,2,0
2507,11378,5,25.31,1.0,2,0
2507,11378,11355,25.31,1.0,2,0
2506,3989,8278,441.0,0.008,2,0
2506,8386,2,24.99,1.0,2,0
2506,8386,2260,24.99,1.0,2,0
2506,6885,904,147.0,0.0241,2,0
2506,11413,11378,367.5,0.0276,2,2
2506,11413,5,367.5,0.0276,3,0
2506,11413,11378,367.5,0.0276,2,2
2506,11413,11355,367.5,0.0276,3,0
2506,11433,904,15.44,1.0,2,0
2506,11433,11355,15.44,1.0,2,0
2506,11433,904,16.91,1.0,2,0
2506,11433,11355,16.91,1.0,2,0
2506,11433,904,14.7,1.0,2,0
2506,11433,11355,14.7,1.0,2,0
2506,11433,904,14.7,1.0,2,0
2506,11433,11355,14.7,1.0,2,0
2506,11433,904,10.29,1.0,2,0
2506,11433,11355,10.29,1.0,2,0
2505,3983,7824,23.85,0.008,2,0
2505,9459,9457,26.1,1.0,2,1
2505,9459,1539,26.1,0.0844,3,0
2505,9459,9458,26.1,1.0,2,1
2505,9459,6643,26.1,0.0344,3,0
2505,11440,1332,85.5,0.0241,2,0
2505,11440,1332,67.5,0.0241,2,0
2505,11439,1332,27.0,0.031,2,0
2505,11439,1332,13.5,0.031,2,0
2504,3983,7824,23.85,0.008,2,0
2504,9459,9457,26.1,1.0,2,1
2504,9459,1539,26.1,0.0844,3,0
2504,9459,9458,26.1,1.0,2,1
2504,9459,6643,26.1,0.0344,3,0
2504,11438,1341,85.5,0.0241,2,0
2504,11438,1341,67.5,0.0241,2,0
2504,11437,1341,27.0,0.031,2,0
2504,11437,1341,13.5,0.031,2,0
2503,3983,7824,161.14,0.008,2,0
2503,9008,8508,403.11,1.0,2,1
2503,9008,793,403.11,0.0241,3,0
2503,8706,8427,165.66,1.0,2,1
2503,8706,8311,165.66,0.0293,3,0
2503,8706,8699,165.66,1.0,2,1
2503,8706,82,165.66,0.0793,3,0
2503,8706,8705,165.66,1.0,2,1
2503,8706,6640,165.66,0.0301,3,0
2503,2275,2272,6.39,1.0,2,0
2503,2275,2272,6.57,1.0,2,0
2503,2276,2272,8.0,1.0,2,0
2502,8508,793,159.5,0.0241,2,0
2502,8508,793,47.85,0.0241,2,0
2502,1065,1,11.17,1.0,2,0
2502,1065,1061,11.17,1.0,2,1
2502,1065,1050,11.17,1.0,3,0
2502,1065,1,9.57,1.0,2,0
2502,1065,1061,9.57,1.0,2,1
2502,1065,1050,9.57,1.0,3,0
2502,1065,1,4.79,1.0,2,0
2502,1065,1061,4.79,1.0,2,1
2502,1065,1050,4.79,1.0,3,0
2501,9125,8232,1.4,1.0,2,0
2501,9125,2352,1.4,1.0,2,0
2501,8916,6608,201.0,0.0278,2,0
2501,3983,7824,129.04,0.008,2,0
2501,9008,8508,325.02,1.0,2,1
2501,9008,793,325.02,0.0241,3,0
2501,8522,8312,132.66,1.0,2,1
2501,8522,8311,132.66,0.026,3,0
2501,8522,8376,132.66,1.0,2,1
2501,8522,317,132.66,0.069,3,2
2501,8522,1,132.66,0.069,4,0
2501,8522,317,132.66,0.069,3,2
2501,8522,316,132.66,0.069,4,0
2501,10694,1,2.43,1.0,2,0
2501,10694,10692,2.43,1.0,2,0
2501,10694,1,4.8,1.0,2,0
2501,10694,10692,4.8,1.0,2,0
2501,10694,1,4.6,1.0,2,0
2501,10694,10692,4.6,1.0,2,0
2501,10694,1,7.3,1.0,2,0
2501,10694,10692,7.3,1.0,2,0
2501,10694,1,6.12,1.0,2,0
2501,10694,10692,6.12,1.0,2,0
2501,10693,793,5.53,1.0,2,0
2501,10693,10692,5.53,1.0,2,0
2500,3983,7824,193.24,0.008,2,0
2500,9008,8508,486.72,1.0,2,1
2500,9008,793,486.72,0.0241,3,0
2500,8522,8312,198.66,1.0,2,1
2500,8522,8311,198.66,0.026,3,0
2500,8522,8376,198.66,1.0,2,1
2500,8522,317,198.66,0.069,3,2
2500,8522,1,198.66,0.069,4,0
2500,8522,317,198.66,0.069,3,2
2500,8522,316,198.66,0.069,4,0
2500,9043,1,3.54,1.0,2,0
2500,9043,777,3.54,1.0,2,0
2500,9043,1,6.99,1.0,2,0
2500,9043,777,6.99,1.0,2,0
2500,9043,1,6.7,1.0,2,0
2500,9043,777,6.7,1.0,2,0
2500,9043,1,10.63,1.0,2,0
2500,9043,777,10.63,1.0,2,0
2500,9043,1,8.92,1.0,2,0
2500,9043,777,8.92,1.0,2,0
2500,9042,793,7.67,1.0,2,0
2500,9042,777,7.67,1.0,2,0
2500,9125,8232,2.09,1.0,2,0
2500,9125,2352,2.09,1.0,2,0
2500,8916,6608,301.0,0.0278,2,0
2499,9125,8232,1.4,1.0,2,0
2499,9125,2352,1.4,1.0,2,0
2499,8916,6608,201.0,0.0278,2,0
2499,3983,7824,129.04,0.008,2,0
2499,9008,8508,325.02,1.0,2,1
2499,9008,793,325.02,0.0241,3,0
2499,8522,8312,132.66,1.0,2,1
2499,8522,8311,132.66,0.026,3,0
2499,8522,8376,132.66,1.0,2,1
2499,8522,317,132.66,0.069,3,2
2499,8522,1,132.66,0.069,4,0
2499,8522,317,132.66,0.069,3,2
2499,8522,316,132.66,0.069,4,0
2499,7372,2,1.81,1.0,2,0
2499,7372,10808,1.81,1.0,2,0
2499,7372,2,4.36,1.0,2,0
2499,7372,10808,4.36,1.0,2,0
2499,7372,2,4.18,1.0,2,0
2499,7372,10808,4.18,1.0,2,0
2499,7372,2,6.11,1.0,2,0
2499,7372,10808,6.11,1.0,2,0
2499,7372,2,5.57,1.0,2,0
2499,7372,10808,5.57,1.0,2,0
2499,7371,904,5.03,1.0,2,0
2499,7371,10808,5.03,1.0,2,0
2498,9125,8232,1.4,1.0,2,0
2498,9125,2352,1.4,1.0,2,0
2498,8916,6608,201.0,0.0278,2,0
2498,3983,7824,129.04,0.008,2,0
2498,9008,8508,325.02,1.0,2,1
2498,9008,793,325.02,0.0241,3,0
2498,8522,8312,132.66,1.0,2,1
2498,8522,8311,132.66,0.026,3,0
2498,8522,8376,132.66,1.0,2,1
2498,8522,317,132.66,0.069,3,2
2498,8522,1,132.66,0.069,4,0
2498,8522,317,132.66,0.069,3,2
2498,8522,316,132.66,0.069,4,0
2498,7374,1,1.81,1.0,2,0
2498,7374,10807,1.81,1.0,2,0
2498,7374,1,4.36,1.0,2,0
2498,7374,10807,4.36,1.0,2,0
2498,7374,1,4.18,1.0,2,0
2498,7374,10807,4.18,1.0,2,0
2498,7374,1,6.11,1.0,2,0
2498,7374,10807,6.11,1.0,2,0
2498,7374,1,5.57,1.0,2,0
2498,7374,10807,5.57,1.0,2,0
2498,7373,793,5.03,1.0,2,0
2498,7373,10807,5.03,1.0,2,0
2497,9125,8232,1.4,1.0,2,0
2497,9125,2352,1.4,1.0,2,0
2497,8916,6608,201.0,0.0278,2,0
2497,3983,7824,129.04,0.008,2,0
2497,9008,8508,325.02,1.0,2,1
2497,9008,793,325.02,0.0241,3,0
2497,8522,8312,132.66,1.0,2,1
2497,8522,8311,132.66,0.026,3,0
2497,8522,8376,132.66,1.0,2,1
2497,8522,317,132.66,0.069,3,2
2497,8522,1,132.66,0.069,4,0
2497,8522,317,132.66,0.069,3,2
2497,8522,316,132.66,0.069,4,0
2497,11453,2,1.81,1.0,2,0
2497,11453,10809,1.81,1.0,2,0
2497,11453,2,4.36,1.0,2,0
2497,11453,10809,4.36,1.0,2,0
2497,11453,2,4.18,1.0,2,0
2497,11453,10809,4.18,1.0,2,0
2497,11453,2,6.11,1.0,2,0
2497,11453,10809,6.11,1.0,2,0
2497,11453,2,5.57,1.0,2,0
2497,11453,10809,5.57,1.0,2,0
2497,7375,904,5.03,1.0,2,0
2497,7375,10809,5.03,1.0,2,0
2496,9098,1,0.5,1.0,2,0
2496,9098,8232,0.5,1.0,2,0
2496,9125,8232,1.4,1.0,2,0
2496,9125,2352,1.4,1.0,2,0
2496,8916,6608,201.0,0.0278,2,0
2496,3983,7824,129.04,0.008,2,0
2496,9008,8508,325.02,1.0,2,1
2496,9008,793,325.02,0.0241,3,0
2496,8522,8312,132.66,1.0,2,1
2496,8522,8311,132.66,0.026,3,0
2496,8522,8376,132.66,1.0,2,1
2496,8522,317,132.66,0.069,3,2
2496,8522,1,132.66,0.069,4,0
2496,8522,317,132.66,0.069,3,2
2496,8522,316,132.66,0.069,4,0
2496,9043,1,2.43,1.0,2,0
2496,9043,777,2.43,1.0,2,0
2496,9043,1,4.8,1.0,2,0
2496,9043,777,4.8,1.0,2,0
2496,9043,1,4.6,1.0,2,0
2496,9043,777,4.6,1.0,2,0
2496,9098,1,7.96,1.0,2,0
2496,9098,8232,7.96,1.0,2,0
2496,9098,1,6.68,1.0,2,0
2496,9098,8232,6.68,1.0,2,0
2496,8234,793,6.5,1.0,2,0
2496,8234,8232,6.5,1.0,2,0
2495,9125,8232,1.4,1.0,2,0
2495,9125,2352,1.4,1.0,2,0
2495,8916,6608,201.0,0.0278,2,0
2495,3983,7824,129.04,0.008,2,0
2495,9008,8508,325.02,1.0,2,1
2495,9008,793,325.02,0.0241,3,0
2495,8522,8312,132.66,1.0,2,1
2495,8522,8311,132.66,0.026,3,0
2495,8522,8376,132.66,1.0,2,1
2495,8522,317,132.66,0.069,3,2
2495,8522,1,132.66,0.069,4,0
2495,8522,317,132.66,0.069,3,2
2495,8522,316,132.66,0.069,4,0
2495,1065,1,2.54,1.0,2,0
2495,1065,1061,2.54,1.0,2,1
2495,1065,1050,2.54,1.0,3,0
2495,1065,1,5.02,1.0,2,0
2495,1065,1061,5.02,1.0,2,1
2495,1065,1050,5.02,1.0,3,0
2495,1065,1,4.81,1.0,2,0
2495,1065,1061,4.81,1.0,2,1
2495,1065,1050,4.81,1.0,3,0
2495,1065,1,7.63,1.0,2,0
2495,1065,1061,7.63,1.0,2,1
2495,1065,1050,7.63,1.0,3,0
2495,1065,1,6.4,1.0,2,0
2495,1065,1061,6.4,1.0,2,1
2495,1065,1050,6.4,1.0,3,0
2495,1062,793,6.02,1.0,2,0
2495,1062,1061,6.02,1.0,2,1
2495,1062,1050,6.02,1.0,3,0
2494,9125,8232,1.4,1.0,2,0
2494,9125,2352,1.4,1.0,2,0
2494,8916,6608,201.0,0.0278,2,0
2494,3983,7824,129.04,0.008,2,0
2494,9008,8508,325.02,1.0,2,1
2494,9008,793,325.02,0.0241,3,0
2494,8522,8312,132.66,1.0,2,1
2494,8522,8311,132.66,0.026,3,0
2494,8522,8376,132.66,1.0,2,1
2494,8522,317,132.66,0.069,3,2
2494,8522,1,132.66,0.069,4,0
2494,8522,317,132.66,0.069,3,2
2494,8522,316,132.66,0.069,4,0
2494,1065,1,2.54,1.0,2,0
2494,1065,1061,2.54,1.0,2,1
2494,1065,1050,2.54,1.0,3,0
2494,1065,1,5.02,1.0,2,0
2494,1065,1061,5.02,1.0,2,1
2494,1065,1050,5.02,1.0,3,0
2494,1065,1,4.81,1.0,2,0
2494,1065,1061,4.81,1.0,2,1
2494,1065,1050,4.81,1.0,3,0
2494,1065,1,7.63,1.0,2,0
2494,1065,1061,7.63,1.0,2,1
2494,1065,1050,7.63,1.0,3,0
2494,1065,1,6.4,1.0,2,0
2494,1065,1061,6.4,1.0,2,1
2494,1065,1050,6.4,1.0,3,0
2494,1062,793,6.02,1.0,2,0
2494,1062,1061,6.02,1.0,2,1
2494,1062,1050,6.02,1.0,3,0
2493,9125,8232,1.4,1.0,2,0
2493,9125,2352,1.4,1.0,2,0
2493,8916,6608,201.0,0.0278,2,0
2493,3983,7824,129.04,0.008,2,0
2493,9008,8508,325.02,1.0,2,1
2493,9008,793,325.02,0.0241,3,0
2493,8522,8312,132.66,1.0,2,1
2493,8522,8311,132.66,0.026,3,0
2493,8522,8376,132.66,1.0,2,1
2493,8522,317,132.66,0.069,3,2
2493,8522,1,132.66,0.069,4,0
2493,8522,317,132.66,0.069,3,2
2493,8522,316,132.66,0.069,4,0
2493,1065,1,2.54,1.0,2,0
2493,1065,1061,2.54,1.0,2,1
2493,1065,1050,2.54,1.0,3,0
2493,1065,1,5.02,1.0,2,0
2493,1065,1061,5.02,1.0,2,1
2493,1065,1050,5.02,1.0,3,0
2493,1065,1,4.81,1.0,2,0
2493,1065,1061,4.81,1.0,2,1
2493,1065,1050,4.81,1.0,3,0
2493,1065,1,7.63,1.0,2,0
2493,1065,1061,7.63,1.0,2,1
2493,1065,1050,7.63,1.0,3,0
2493,1065,1,6.4,1.0,2,0
2493,1065,1061,6.4,1.0,2,1
2493,1065,1050,6.4,1.0,3,0
2493,1062,793,6.02,1.0,2,0
2493,1062,1061,6.02,1.0,2,1
2493,1062,1050,6.02,1.0,3,0
2492,3983,7824,121.81,0.008,2,0
2492,8508,793,290.34,0.0241,2,0
2492,8347,8312,129.04,1.0,2,1
2492,8347,8311,129.04,0.026,3,0
2492,8347,8326,129.04,1.0,2,1
2492,8347,82,129.04,0.0672,3,0
2492,8347,8313,129.04,1.0,2,1
2492,8347,7923,129.04,0.026,3,0
2492,105,2,5.7,1.0,2,0
2492,105,102,5.7,1.0,2,0
2491,6991,1151,82.8,0.0241,2,0
2491,7215,802,73.6,0.031,2,0
2491,6871,802,23.0,0.0241,2,0
2491,1128,2,9.2,1.0,2,0
2491,1128,1127,9.2,1.0,2,0
2491,7823,1325,133.4,0.031,2,2
2491,7823,2,133.4,0.031,3,0
2491,7823,1325,133.4,0.031,2,2
2491,7823,1323,133.4,0.031,3,0
2491,1325,2,9.2,1.0,2,0
2491,1325,1323,9.2,1.0,2,0
2491,1325,2,3.86,1.0,2,0
2491,1325,1323,3.86,1.0,2,0
2491,1324,6641,4.69,0.5,2,0
2491,1324,1323,4.69,1.0,2,0
2490,6991,1151,84.6,0.0241,2,0
2490,7215,802,75.2,0.031,2,0
2490,6871,802,23.5,0.0241,2,0
2490,1128,2,9.21,1.0,2,0
2490,1128,1127,9.21,1.0,2,0
2490,7823,1325,131.6,0.031,2,2
2490,7823,2,131.6,0.031,3,0
2490,7823,1325,131.6,0.031,2,2
2490,7823,1323,131.6,0.031,3,0
2490,1325,2,9.21,1.0,2,0
2490,1325,1323,9.21,1.0,2,0
2490,1325,2,2.82,1.0,2,0
2490,1325,1323,2.82,1.0,2,0
2490,1324,6641,4.7,0.5,2,0
2490,1324,1323,4.7,1.0,2,0
2489,6991,1151,108.0,0.0241,2,0
2489,7215,802,96.0,0.031,2,0
2489,6871,802,30.0,0.0241,2,0
2489,1128,2,11.52,1.0,2,0
2489,1128,1127,11.52,1.0,2,0
2489,7823,1325,162.0,0.031,2,2
2489,7823,2,162.0,0.031,3,0
2489,7823,1325,162.0,0.031,2,2
2489,7823,1323,162.0,0.031,3,0
2489,1325,2,11.52,1.0,2,0
2489,1325,1323,11.52,1.0,2,0
2489,1325,2,3.48,1.0,2,0
2489,1325,1323,3.48,1.0,2,0
2489,1324,6641,5.4,0.5,2,0
2489,1324,1323,5.4,1.0,2,0
2488,6991,1151,117.0,0.0241,2,0
2488,7215,802,104.0,0.031,2,0
2488,6871,802,32.5,0.0241,2,0
2488,1128,2,11.83,1.0,2,0
2488,1128,1127,11.83,1.0,2,0
2488,7823,1325,158.6,0.031,2,2
2488,7823,2,158.6,0.031,3,0
2488,7823,1325,158.6,0.031,2,2
2488,7823,1323,158.6,0.031,3,0
2488,1325,2,11.83,1.0,2,0
2488,1325,1323,11.83,1.0,2,0
2488,1325,2,3.64,1.0,2,0
2488,1325,1323,3.64,1.0,2,0
2488,1324,6641,5.59,0.5,2,0
2488,1324,1323,5.59,1.0,2,0
2487,6952,1165,111.6,0.0241,2,0
2487,7029,790,99.2,0.031,2,0
2487,6883,790,31.0,0.0241,2,0
2487,1215,2,12.4,1.0,2,0
2487,1215,1214,12.4,1.0,2,0
2487,9926,1328,179.8,0.031,2,2
2487,9926,2,179.8,0.031,3,0
2487,9926,1328,179.8,0.031,2,2
2487,9926,1326,179.8,0.031,3,0
2487,1328,2,12.4,1.0,2,0
2487,1328,1326,12.4,1.0,2,0
2487,1328,2,5.21,1.0,2,0
2487,1328,1326,5.21,1.0,2,0
2487,1327,6641,6.32,0.5,2,0
2487,1327,1326,6.32,1.0,2,0
2486,6952,1165,98.1,0.0241,2,0
2486,7029,790,87.2,0.031,2,0
2486,6883,790,27.25,0.0241,2,0
2486,1215,2,10.68,1.0,2,0
2486,1215,1214,10.68,1.0,2,0
2486,9926,1328,152.6,0.031,2,2
2486,9926,2,152.6,0.031,3,0
2486,9926,1328,152.6,0.031,2,2
2486,9926,1326,152.6,0.031,3,0
2486,1328,2,10.68,1.0,2,0
2486,1328,1326,10.68,1.0,2,0
2486,1328,2,3.27,1.0,2,0
2486,1328,1326,3.27,1.0,2,0
2486,1327,6641,5.45,0.5,2,0
2486,1327,1326,5.45,1.0,2,0
2485,6952,1165,117.9,0.0241,2,0
2485,7029,790,104.8,0.031,2,0
2485,6883,790,32.75,0.0241,2,0
2485,1215,2,12.58,1.0,2,0
2485,1215,1214,12.58,1.0,2,0
2485,9926,1328,176.85,0.031,2,2
2485,9926,2,176.85,0.031,3,0
2485,9926,1328,176.85,0.031,2,2
2485,9926,1326,176.85,0.031,3,0
2485,1328,2,12.58,1.0,2,0
2485,1328,1326,12.58,1.0,2,0
2485,1328,2,3.8,1.0,2,0
2485,1328,1326,3.8,1.0,2,0
2485,1327,6641,5.89,0.5,2,0
2485,1327,1326,5.89,1.0,2,0
2484,6952,1165,39.6,0.0241,2,0
2484,7029,790,35.2,0.031,2,0
2484,6883,790,11.0,0.0241,2,0
2484,1215,2,4.0,1.0,2,0
2484,1215,1214,4.0,1.0,2,0
2484,9926,1328,53.68,0.031,2,2
2484,9926,2,53.68,0.031,3,0
2484,9926,1328,53.68,0.031,2,2
2484,9926,1326,53.68,0.031,3,0
2484,1328,2,4.0,1.0,2,0
2484,1328,1326,4.0,1.0,2,0
2484,1328,2,1.23,1.0,2,0
2484,1328,1326,1.23,1.0,2,0
2484,1327,6641,1.89,0.5,2,0
2484,1327,1326,1.89,1.0,2,0
2483,3983,7824,66.0,0.008,2,0
2483,8508,793,148.5,0.0241,2,0
2483,8522,8312,66.0,1.0,2,1
2483,8522,8311,66.0,0.026,3,0
2483,8522,8376,66.0,1.0,2,1
2483,8522,317,66.0,0.069,3,2
2483,8522,1,66.0,0.069,4,0
2483,8522,317,66.0,0.069,3,2
2483,8522,316,66.0,0.069,4,0
